TIME, N5_UZ, N5_AZ, N6_UZ, N6_AZ, N7_UZ, N7_AZ
1.E-03, 2.267394239E-15, 4.534676234E-09, 3.277729499E-16, 6.555296738E-10, 2.833433393E-17, 5.66672652E-11
2.E-03, 4.184529189E-14, 7.008493033E-08, 7.201494645E-15, 1.243610835E-08, 7.020016961E-16, 1.233972428E-09
3.E-03, 3.530191276E-13, 4.730999653E-07, 7.258505709E-14, 1.045818382E-07, 8.081424332E-15, 1.217732223E-08
4.E-03, 1.801433986E-12, 1.80136602E-06, 4.425400875E-13, 5.045551788E-07, 5.721850094E-14, 7.133700386E-08
5.E-03, 6.215464704E-12, 4.129856684E-06, 1.810795182E-12, 1.492036208E-06, 2.779132599E-13, 2.717758262E-07
6.E-03, 1.544307829E-11, 5.49734167E-06, 5.215642319E-12, 2.581153931E-06, 9.779657268E-13, 6.869367595E-07
7.E-03, 2.912909347E-11, 3.419514824E-06, 1.081958321E-11, 1.817073521E-06, 2.569450899E-12, 1.095931577E-06
8.E-03, 4.467791286E-11, 3.060670044E-07, 1.650697265E-11, -1.650148684E-06, 5.137462236E-12, 8.571339191E-07
9.E-03, 6.14297832E-11, 2.099939492E-06, 1.989705063E-11, -2.944555196E-06, 7.989352464E-12, -2.89366575E-07
1.E-02, 8.265861994E-11, 6.854013524E-06, 2.355890373E-11, 3.487993533E-06, 1.017131926E-11, -1.050499208E-06
1.1E-02, 1.100454869E-10, 5.462179287E-06, 3.361695433E-11, 9.304526383E-06, 1.195131807E-11, 2.465308452E-07
1.2E-02, 1.393419994E-10, -1.64287651E-06, 4.850984839E-11, 3.654033492E-07, 1.498265385E-11, 2.256157211E-06
1.3E-02, 1.658463132E-10, -3.941651408E-06, 5.810698495E-11, -1.095709736E-05, 1.980806018E-11, 1.332042664E-06
1.4E-02, 1.926114204E-10, 4.463101223E-06, 6.188350009E-11, -6.845045408E-07, 2.426665015E-11, -2.065671772E-06
1.5E-02, 2.289884515E-10, 1.476083403E-05, 7.132300575E-11, 1.201077756E-05, 2.651500867E-11, -2.354871602E-06
1.6E-02, 2.746652107E-10, 3.839061568E-06, 8.65862563E-11, -3.629534694E-07, 2.872423336E-11, 2.276561019E-06
1.7E-02, 3.138289643E-10, -1.686526136E-05, 9.92269351E-11, -4.882712121E-06, 3.46922124E-11, 5.241031013E-06
1.8E-02, 3.488781242E-10, 8.635115189E-06, 1.160347017E-10, 1.321683965E-05, 4.336938876E-11, 1.774806541E-07
1.9E-02, 4.106805799E-10, 4.487215059E-05, 1.406857481E-10, 2.470480949E-06, 4.876941579E-11, -6.731848341E-06
2.E-02, 4.969469646E-10, 4.056953787E-06, 1.584615544E-10, -1.622151042E-05, 5.056889757E-11, -4.695005252E-07
2.1E-02, 5.772480908E-10, -1.598920672E-05, 1.754905379E-10, 1.472717458E-05, 5.895191001E-11, 1.363662094E-05
2.2E-02, 6.783967535E-10, 5.768366159E-05, 2.113139652E-10, 2.286295436E-05, 7.743837708E-11, 6.570754476E-06
2.3E-02, 8.27008646E-10, 3.724573337E-05, 2.503221166E-10, -1.649354736E-05, 9.22986737E-11, -1.382322239E-05
2.4E-02, 9.608106142E-10, -6.686638814E-05, 2.840400576E-10, 5.911637982E-06, 9.879051048E-11, -2.914347612E-06
2.5E-02, 1.036848981E-09, -4.866305205E-05, 3.372175535E-10, 3.300881478E-05, 1.133465428E-10, 1.904310268E-05
2.6E-02, 1.047127886E-09, -8.285238151E-05, 3.940053851E-10, -2.578733368E-05, 1.38094933E-10, 1.34223802E-06
2.7E-02, 8.730982343E-10, -2.857639765E-04, 4.268966804E-10, -2.200808155E-05, 1.573660527E-10, -1.229749224E-05
2.8E-02, 3.879004042E-10, -3.365768855E-04, 4.733239518E-10, 4.908066412E-05, 1.756910406E-10, 1.040502812E-05
2.9E-02, -3.674901089E-10, -2.038086087E-04, 5.505342344E-10, 1.248740567E-05, 2.025519635E-10, 6.667693043E-06
3.E-02, -1.231950489E-09, -1.433240264E-05, 6.17099555E-10, -3.377909723E-05, 2.285277155E-10, -8.438587767E-06
3.1E-02, -1.816967953E-09, 5.732096328E-04, 6.758791719E-10, 1.820699067E-05, 2.561951964E-10, 1.182171205E-05
3.2E-02, -1.253884618E-09, 1.72298648E-03, 7.699776238E-10, 5.243180412E-05, 2.897092642E-10, -1.274140737E-07
3.3E-02, 1.699299432E-09, 3.057215762E-03, 9.295771544E-10, 7.856945095E-05, 3.137074963E-10, -1.890519025E-05
3.4E-02, 8.319617667E-09, 4.277054645E-03, 1.196893697E-09, 1.368646618E-04, 3.443320509E-10, 3.215702106E-05
3.5E-02, 1.957433357E-08, 4.991751192E-03, 1.612451187E-09, 1.596180248E-04, 4.021429503E-10, 2.221797651E-05
3.6E-02, 3.54110165E-08, 4.17221055E-03, 2.18034436E-09, 1.450534889E-04, 4.436369532E-10, -5.485237014E-05
3.7E-02, 5.374873183E-08, 8.29889567E-04, 2.83046551E-09, 1.940507125E-05, 4.580756757E-10, 7.391145402E-07
3.8E-02, 6.992123171E-08, -5.160289554E-03, 3.341586597E-09, -2.974030203E-04, 5.01759775E-10, 5.775424512E-05
3.9E-02, 7.682818751E-08, -1.337077396E-02, 3.334781283E-09, -7.384488415E-04, 5.43872066E-10, -6.089606809E-05
4.E-02, 6.57615044E-08, -2.257650336E-02, 2.292805907E-09, -1.331888432E-03, 5.049289152E-10, -1.012185122E-04
4.1E-02, 2.848909007E-08, -2.983500774E-02, -4.179304313E-10, -2.005634297E-03, 4.094407965E-10, -1.187100991E-05
4.2E-02, -3.940007518E-08, -3.139858738E-02, -5.30460267E-09, -2.346244962E-03, 2.684712835E-10, -7.908830908E-05
4.3E-02, -1.351460019E-07, -2.431505822E-02, -1.233207937E-08, -1.935375257E-03, 1.054741298E-11, -1.548235959E-04
4.4E-02, -2.465815446E-07, -7.064305035E-03, -2.054183189E-08, -4.291924189E-04, -3.101394194E-10, 2.929436712E-05
4.5E-02, -3.519472952E-07, 1.920379475E-02, -2.774841073E-08, 2.435521879E-03, -5.002921874E-10, 2.317765465E-04
4.6E-02, -4.227783328E-07, 4.986561491E-02, -3.047810974E-08, 6.518225182E-03, -3.943381287E-10, 3.604362045E-04
4.7E-02, -4.298144297E-07, 7.772435195E-02, -2.440969345E-08, 1.107800595E-02, 2.425332377E-10, 7.013940407E-04
4.8E-02, -3.508545219E-07, 9.426785386E-02, -5.445622349E-09, 1.471332603E-02, 1.77669821E-09, 1.093196196E-03
4.9E-02, -1.786299073E-07, 9.226182631E-02, 2.866891277E-08, 1.558764845E-02, 4.426370469E-09, 1.137824005E-03
