TIME, N1_UZ, N1_AZ, N2_UZ, N2_AZ, N3_UZ, N3_AZ, N4_UZ, N4_AZ
1.E-03, -6.639897031E-11, -1.327946536E-04, 1.173459567E-12, 2.346861044E-06, 1.830335722E-13, 3.660580835E-07, 2.763502347E-14, 5.526867891E-08
2.E-03, -3.436847455E-10, -2.88981599E-04, 1.237522657E-11, 1.770948859E-05, 2.252569525E-12, 3.406889352E-06, 4.352628897E-13, 7.047036404E-07
3.E-03, -1.724769224E-10, 1.185931012E-03, 5.910307087E-11, 5.334242425E-05, 1.251780994E-11, 1.298441397E-05, 3.07771246E-12, 3.764893198E-06
4.E-03, 4.069188534E-09, 6.954915E-03, 1.783498531E-10, 9.169562126E-05, 4.225164774E-11, 2.595280038E-05, 1.287192915E-11, 1.053859477E-05
5.E-03, 2.419612841E-08, 2.481540244E-02, 4.280415639E-10, 1.691931006E-04, 1.00204455E-10, 3.048532815E-05, 3.550070553E-11, 1.513062395E-05
6.E-03, 9.714641182E-08, 8.083056702E-02, 9.946272028E-10, 4.64590475E-04, 1.876092393E-10, 2.841860343E-05, 6.927427292E-11, 7.159171665E-06
7.E-03, 2.971959174E-07, 0.173367677, 2.336477189E-09, 1.085934348E-03, 3.064352271E-10, 3.442362581E-05, 1.048087607E-10, -3.637470365E-06
8.E-03, 6.558170202E-07, 0.143778737, 5.107599389E-09, 1.772612255E-03, 4.636595494E-10, 4.237316929E-05, 1.432881861E-10, 9.526889317E-06
9.E-03, 9.906108311E-07, -0.191428912, 9.478736549E-09, 1.427441073E-03, 6.619702964E-10, 3.979981696E-05, 2.012689762E-10, 2.947611934E-05
1.E-02, 9.796537084E-07, -0.500077934, 1.308956323E-08, -2.947985206E-03, 8.822362896E-10, 4.111361071E-06, 2.794482379E-10, 1.092150318E-05
1.1E-02, 6.408745332E-07, -0.155577458, 7.838499681E-09, -1.477568611E-02, 1.043013809E-09, -1.230867149E-04, 3.585295908E-10, -9.117949797E-06
1.2E-02, 4.225008303E-07, 0.39639433, -2.068674208E-08, -3.177264937E-02, 9.715538354E-10, -3.413875792E-04, 4.403940675E-10, 1.468372873E-05
1.3E-02, 3.90572989E-07, -2.348436154E-02, -8.729806959E-08, -4.439965082E-02, 3.991501347E-10, -6.604980587E-04, 5.332224246E-10, 7.245264727E-06
1.4E-02, -1.390099459E-07, -0.971830629, -1.995908606E-07, -4.696339922E-02, -1.059436428E-09, -1.11186617E-03, 6.165733867E-10, -2.62006192E-05
1.5E-02, -1.631881177E-06, -0.954765152, -3.582269872E-07, -4.572324536E-02, -3.652556656E-09, -1.157212676E-03, 6.986700621E-10, 2.369053618E-05
