TIME, N1_UZ, N1_AZ, N2_UZ, N2_AZ, N3_UZ, N3_AZ, N4_UZ, N4_AZ
1.E-03, -5.843109387E-11, -1.168592952E-04, 1.032644419E-12, 2.065237719E-06, 1.610695435E-13, 3.221311135E-07, 2.431882066E-14, 4.863643744E-08
2.E-03, -3.02442576E-10, -2.543038071E-04, 1.089019938E-11, 1.558434996E-05, 1.982261182E-12, 2.99806263E-06, 3.830313429E-13, 6.201392036E-07
3.E-03, -1.517796917E-10, 1.043619291E-03, 5.201070236E-11, 4.694133334E-05, 1.101567275E-11, 1.142628429E-05, 2.708386965E-12, 3.313106014E-06
4.E-03, 3.580885909E-09, 6.1203252E-03, 1.569478707E-10, 8.069214671E-05, 3.718145001E-11, 2.283846433E-05, 1.132729765E-11, 9.2739634E-06
5.E-03, 2.1292593E-08, 2.183755414E-02, 3.766765762E-10, 1.488899285E-04, 8.817992039E-11, 2.682708877E-05, 3.124062086E-11, 1.331494908E-05
6.E-03, 8.54888424E-08, 7.113089898E-02, 8.752719385E-10, 4.08839618E-04, 1.650961306E-10, 2.500837102E-05, 6.096136017E-11, 6.300071066E-06
7.E-03, 2.615324073E-07, 0.152563556, 2.056099927E-09, 9.556222266E-04, 2.696629998E-10, 3.029279072E-05, 9.22317094E-11, -3.200973921E-06
8.E-03, 5.771189778E-07, 0.126525289, 4.494687462E-09, 1.559898784E-03, 4.080204035E-10, 3.728838898E-05, 1.260936038E-10, 8.383662599E-06
9.E-03, 8.717375313E-07, -0.168457443, 8.341288163E-09, 1.256148145E-03, 5.825338608E-10, 3.502383892E-05, 1.77116699E-10, 2.593898502E-05
1.E-02, 8.620952634E-07, -0.440068582, 1.151881565E-08, -2.594226981E-03, 7.763679349E-10, 3.617997743E-06, 2.459144494E-10, 9.610922797E-06
1.1E-02, 5.639695892E-07, -0.136908163, 6.897879719E-09, -1.300260377E-02, 9.178521523E-10, -1.083163091E-04, 3.155060399E-10, -8.023795821E-06
1.2E-02, 3.718007307E-07, 0.348827011, -1.820433303E-08, -2.795993145E-02, 8.549673752E-10, -3.004210697E-04, 3.875467794E-10, 1.292168128E-05
1.3E-02, 3.437042303E-07, -2.066623815E-02, -7.682230124E-08, -3.907169272E-02, 3.512521185E-10, -5.812382917E-04, 4.692357336E-10, 6.375832959E-06
1.4E-02, -1.223287524E-07, -0.855210954, -1.756399574E-07, -4.132779131E-02, -9.323040562E-10, -9.784422297E-04, 5.425845803E-10, -2.305654489E-05
1.5E-02, -1.436055436E-06, -0.840193334, -3.152397487E-07, -4.023645592E-02, -3.214249857E-09, -1.018347155E-03, 6.148296546E-10, 2.084767184E-05
1.6E-02, -3.254399681E-06, -0.169041479, -4.923193624E-07, -3.472332103E-02, -5.94014892E-09, 1.304211405E-04, 7.191767884E-10, 4.335827876E-05
1.7E-02, -5.098455331E-06, 0.117627884, -6.85494434E-07, 2.531749293E-03, -7.237257781E-09, 2.727142526E-03, 8.452355451E-10, 6.480048795E-08
1.8E-02, -6.938764341E-06, -0.110130904, -8.338227236E-07, 8.716128504E-02, -3.820152492E-09, 6.701268086E-03, 1.024485628E-09, 1.063143144E-04
1.9E-02, -9.029773134E-06, -0.391270968, -8.550182455E-07, 0.167104885, 8.96345935E-09, 1.203172879E-02, 1.402818894E-09, 2.91853555E-04
2.E-02, -1.148906739E-05, -0.345305795, -7.004764188E-07, 0.184370741, 3.676729554E-08, 1.800871981E-02, 2.109017868E-09, 3.638791974E-04
2.1E-02, -1.423284988E-05, -0.223666832, -3.631516089E-07, 0.181194821, 8.474960139E-08, 2.234826015E-02, 3.252240262E-09, 5.101644964E-04
2.2E-02, -1.726071993E-05, -0.344506046, 1.711862354E-07, 0.212830783, 1.539840395E-07, 2.015612627E-02, 4.944865713E-09, 5.886463777E-04
2.3E-02, -2.052068425E-05, -0.11969324, 9.093613808E-07, 0.194845503, 2.366499141E-07, 6.706905904E-03, 6.988059716E-09, 1.124997897E-04
2.4E-02, -2.36369972E-05, 0.406999049, 1.765081143E-06, 4.024546156E-02, 3.145819343E-07, -1.617453733E-02, 8.613371522E-09, -9.482585968E-04
2.5E-02, -2.641527522E-05, 0.26908425, 2.586050831E-06, -0.109747421, 3.628669822E-07, -4.311938264E-02, 8.41821468E-09, -2.692667255E-03
2.6E-02, -2.923896307E-05, -0.359904951, 3.316225139E-06, -7.184621609E-02, 3.5265591E-07, -7.387278741E-02, 4.254816758E-09, -5.243806153E-03
2.7E-02, -3.251052286E-05, -0.535849123, 4.022666334E-06, 2.438136719E-02, 2.528792888E-07, -0.105258364, -6.454201787E-09, -7.847442373E-03
2.8E-02, -3.606216E-05, -2.43125956E-02, 4.70686601E-06, -6.886106454E-02, 4.144704137E-08, -0.118053297, -2.577109748E-08, -9.368331594E-03
2.9E-02, -3.933611791E-05, 0.579675649, 5.238692107E-06, -0.235887543, -2.762663286E-07, -9.450944757E-02, -5.401406781E-08, -8.483857922E-03
3.E-02, -4.203370233E-05, 0.573081944, 5.563175832E-06, -0.178801327, -6.644696804E-07, -4.647063267E-02, -8.821415152E-08, -3.430432581E-03
3.1E-02, -4.442339073E-05, 4.271267468E-02, 5.792766998E-06, -1.098248728E-02, -1.074244062E-06, 3.328643264E-03, -1.20656629E-07, 6.945575747E-03
3.2E-02, -4.696514512E-05, -0.346850675, 5.970774969E-06, -9.217901688E-02, -1.452554924E-06, 5.959816652E-02, -1.386011988E-07, 2.205019052E-02
3.3E-02, -4.976516952E-05, -0.169697497, 5.939950994E-06, -0.325485899, -1.735943886E-06, 0.130245504, -1.261492758E-07, 3.874280381E-02
3.4E-02, -5.244155129E-05, 0.416980625, 5.607323627E-06, -0.278126828, -1.864318447E-06, 0.179783947, -6.833684826E-08, 5.197828232E-02
3.5E-02, -5.453102126E-05, 0.756851186, 5.147688656E-06, 2.411113822E-02, -1.817843142E-06, 0.16991662, 4.390208449E-08, 5.687485908E-02
3.6E-02, -5.603889935E-05, 0.406341602, 4.762813468E-06, 0.125413874, -1.621085888E-06, 0.130647188, 2.088131663E-07, 4.846963985E-02
3.7E-02, -5.74954868E-05, -0.303760264, 4.419380547E-06, -4.252801324E-02, -1.300632154E-06, 0.116745232, 4.091207931E-07, 2.23236924E-02
3.8E-02, -5.939471166E-05, -0.581525314, 4.0105651E-06, -8.824136302E-02, -8.666937927E-07, 0.11022437, 6.10648511E-07, -1.988335006E-02
3.9E-02, -6.154895179E-05, 7.148227279E-02, 3.597706746E-06, 8.015448675E-02, -3.49538499E-07, 5.621032942E-02, 7.685163713E-07, -6.743638984E-02
4.E-02, -6.323574544E-05, 0.863419509, 3.289366565E-06, 0.128885861, 1.856615042E-07, -2.012117605E-02, 8.393628206E-07, -0.106606615
4.1E-02, -6.420266062E-05, 0.576355489, 3.030897703E-06, -2.914202611E-02, 6.873739915E-07, -4.685482296E-02, 7.924700218E-07, -0.12887212
4.2E-02, -6.508799609E-05, -0.41319638, 2.716997032E-06, -8.172537348E-02, 1.14465689E-06, -4.200418854E-02, 6.159248949E-07, -0.130432815
4.3E-02, -6.661008473E-05, -0.860323087, 2.414909607E-06, 0.10534964, 1.540565631E-06, -8.074320932E-02, 3.210271515E-07, -0.106272782
4.4E-02, -6.868241954E-05, -0.240182816, 2.305279081E-06, 0.279566657, 1.824789963E-06, -0.142625935, -5.488976274E-08, -5.576585579E-02
4.5E-02, -7.06104358E-05, 0.528829533, 2.448983714E-06, 0.227106821, 1.965403124E-06, -0.144597572, -4.558986092E-07, 5.58201282E-03
4.6E-02, -7.216135231E-05, 0.225387094, 2.734561478E-06, 5.663926509E-02, 1.98122117E-06, -0.104992545, -8.263205399E-07, 5.559207832E-02
4.7E-02, -7.387595958E-05, -0.552773653, 3.045597137E-06, -5.725978383E-03, 1.889952031E-06, -0.109180851, -1.124878362E-06, 8.813631698E-02
