TIME, N5_UZ, N5_AZ, N6_UZ, N6_AZ, N7_UZ, N7_AZ
1.E-03, 4.723737998E-16, 9.447242153E-10, 6.828603122E-17, 1.36568682E-10, 5.902986234E-18, 1.180568025E-11
2.E-03, 8.717769144E-15, 1.460102715E-08, 1.500311384E-15, 2.590855906E-09, 1.462503534E-16, 2.570775891E-10
3.E-03, 7.354565159E-14, 9.856249276E-08, 1.512188689E-14, 2.178788297E-08, 1.683630069E-15, 2.536942131E-09
4.E-03, 3.75298747E-13, 3.752845875E-07, 9.219585157E-14, 1.051156623E-07, 1.192052103E-14, 1.48618758E-08
5.E-03, 1.29488848E-12, 8.603868092E-07, 3.772489961E-13, 3.108408766E-07, 5.78985958E-14, 5.661996378E-08
6.E-03, 3.217758604E-12, 1.146180748E-06, 1.08665728E-12, 5.378706597E-07, 2.037484899E-13, 1.431230849E-07
7.E-03, 6.076742112E-12, 7.260568524E-07, 2.255491284E-12, 3.809890496E-07, 5.35440073E-13, 2.285608977E-07
8.E-03, 9.375599677E-12, 1.536844103E-07, 3.452952471E-12, -3.237292276E-07, 1.071869129E-12, 1.809167492E-07
9.E-03, 1.313552591E-11, 7.684302569E-07, 4.228952664E-12, -5.192107119E-07, 1.67534861E-12, -4.681408871E-08
1.E-02, 1.83538319E-11, 2.148332534E-06, 5.242718836E-12, 9.94717951E-07, 2.170970296E-12, -1.689058903E-07
1.1E-02, 2.564980774E-11, 2.007041615E-06, 7.938537305E-12, 2.369414319E-06, 2.668496107E-12, 1.72706964E-07
1.2E-02, 3.397574775E-11, 5.289783553E-08, 1.196943764E-11, 3.008075115E-07, 3.577569093E-12, 6.503910522E-07
1.3E-02, 4.188270331E-11, -8.909026399E-07, 1.480496589E-11, -2.691585766E-06, 5.007098172E-12, 3.905357965E-07
1.4E-02, 5.011430175E-11, 1.540140055E-06, 1.600418088E-11, -5.811336289E-07, 6.369686794E-12, -5.244148686E-07
1.5E-02, 6.15455503E-11, 4.859185566E-06, 1.867608297E-11, 3.526549418E-06, 7.144533667E-12, -6.510899452E-07
1.6E-02, 7.648391663E-11, 2.15517419E-06, 2.406936433E-11, 1.916309887E-06, 7.925206926E-12, 6.627279563E-07
1.7E-02, 9.036163168E-11, -4.276506209E-06, 2.977349999E-11, -1.294660425E-06, 9.865156977E-12, 1.655848032E-06
1.8E-02, 1.020078374E-10, -1.867441113E-07, 3.474182471E-11, -1.770106573E-07, 1.274470865E-11, 2.23393287E-07
1.9E-02, 1.181806164E-10, 9.239985827E-06, 3.944778182E-11, -3.476444458E-07, 1.466536547E-11, -2.141197235E-06
2.E-02, 1.405926208E-10, 3.238753651E-06, 4.354877756E-11, -8.623483049E-07, 1.50412218E-11, -9.484778412E-07
