TIME, N5_UZ, N5_AZ, N6_UZ, N6_AZ, N7_UZ, N7_AZ
1.E-03, 1.653308299E-15, 3.306534754E-09, 2.390011093E-16, 4.779903871E-10, 2.066045182E-17, 4.131988087E-11
2.E-03, 3.051219201E-14, 5.110359503E-08, 5.251089845E-15, 9.067995671E-09, 5.118762368E-16, 8.997715618E-10
3.E-03, 2.574097806E-13, 3.449687247E-07, 5.292660413E-14, 7.625759039E-08, 5.892705242E-15, 8.879297458E-09
4.E-03, 1.313545615E-12, 1.313496056E-06, 3.226854805E-13, 3.679048179E-07, 4.17218236E-14, 5.201656531E-08
5.E-03, 4.53210968E-12, 3.011353832E-06, 1.320371487E-12, 1.087943068E-06, 2.026450853E-13, 1.981698732E-07
6.E-03, 1.126170449E-11, 4.010731385E-06, 3.80323535E-12, 1.882417052E-06, 7.131140845E-13, 5.009195371E-07
7.E-03, 2.125928985E-11, 2.525287969E-06, 7.892645219E-12, 1.330703964E-06, 1.873888378E-12, 7.99693173E-07
8.E-03, 3.272644527E-11, 4.138301581E-07, 1.206780519E-11, -1.15918421E-06, 3.749632948E-12, 6.302568916E-07
9.E-03, 4.546743337E-11, 2.133761909E-06, 1.468260095E-11, -1.96160515E-06, 5.848908714E-12, -1.831878816E-07
1.E-02, 6.226098954E-11, 5.971393662E-06, 1.780556758E-11, 2.977864479E-06, 7.519200135E-12, -6.747952637E-07
1.1E-02, 8.421756481E-11, 4.354760508E-06, 2.601335767E-11, 7.191881197E-06, 9.03123604E-12, 3.582606617E-07
1.2E-02, 1.07162088E-10, -2.378851659E-06, 3.76926914E-11, -2.486022282E-07, 1.16187515E-11, 1.792711615E-06
1.3E-02, 1.269130636E-10, -4.008382579E-06, 4.446411982E-11, -9.567349827E-06, 1.550442272E-11, 8.036469842E-07
1.4E-02, 1.471931133E-10, 5.066402036E-06, 4.618068961E-11, -5.426828339E-07, 1.878206248E-11, -2.019710635E-06
1.5E-02, 1.769846941E-10, 1.395679096E-05, 5.388001912E-11, 1.250841179E-05, 2.011664649E-11, -1.86647383E-06
1.6E-02, 2.147672459E-10, 2.025538254E-06, 6.898913316E-11, 2.311527334E-06, 2.180538551E-11, 2.574749224E-06
1.7E-02, 2.447476882E-10, -1.762994574E-05, 8.066453134E-11, -9.17928977E-06, 2.719283662E-11, 4.822763187E-06
1.8E-02, 2.672642227E-10, 2.701325181E-06, 8.909223056E-11, 2.683637956E-06, 3.459429202E-11, -7.946464069E-07
1.9E-02, 3.096120892E-10, 3.696178313E-05, 1.020820228E-10, 6.440997566E-06, 3.79317073E-11, -7.333517081E-06
2.E-02, 3.75143905E-10, 9.407209852E-06, 1.166604376E-10, -3.263859889E-06, 3.718933526E-11, -8.262988723E-07
2.1E-02, 4.353132053E-10, -2.013326428E-05, 1.335025844E-10, 7.790915527E-06, 4.247304814E-11, 1.287852708E-05
2.2E-02, 4.982281509E-10, 2.562369419E-05, 1.591967508E-10, 9.913745096E-06, 5.77060563E-11, 7.020490506E-06
2.3E-02, 5.91565674E-10, 3.522319936E-05, 1.829662346E-10, -1.376308108E-05, 6.963671921E-11, -1.362523353E-05
2.4E-02, 6.859930635E-10, -3.304324312E-05, 2.004257515E-10, 1.142163804E-06, 7.079647453E-11, -7.917182515E-06
2.5E-02, 7.376063674E-10, -5.258635321E-05, 2.32490003E-10, 2.806797194E-05, 7.62595938E-11, 1.652403569E-05
2.6E-02, 7.263356382E-10, -7.318029007E-05, 2.751828621E-10, -6.809880464E-06, 9.506619619E-11, 1.016357018E-05
2.7E-02, 5.827360384E-10, -1.914764275E-04, 3.024638096E-10, -2.401523915E-05, 1.135390406E-10, -1.083135093E-05
2.8E-02, 2.203858204E-10, -2.460273902E-04, 3.280994773E-10, 2.072441708E-05, 1.242998637E-10, -4.593106204E-06
2.9E-02, -3.367841935E-10, -1.436135568E-04, 3.732511926E-10, 1.830910279E-05, 1.352825755E-10, 5.037206166E-06
3.E-02, -9.490988508E-10, 3.332375371E-05, 4.169975865E-10, -2.112022584E-05, 1.51025122E-10, 4.482399167E-06
3.1E-02, -1.325170741E-09, 4.391566208E-04, 4.522782672E-10, 4.18766757E-06, 1.737387266E-10, 9.459642685E-06
3.2E-02, -8.515051658E-10, 1.260313087E-03, 5.150167611E-10, 5.072854266E-05, 1.988215464E-10, -4.720665289E-06
3.3E-02, 1.372470211E-09, 2.240307704E-03, 6.335450179E-10, 6.085131249E-05, 2.128254935E-10, -1.743765248E-05
3.4E-02, 6.237351283E-09, 3.041506946E-03, 8.229335589E-10, 8.086868821E-05, 2.276542841E-10, 1.908668177E-05
3.5E-02, 1.433610803E-08, 3.426251524E-03, 1.109935217E-09, 1.143577694E-04, 2.64445057E-10, 2.483868928E-05
3.6E-02, 2.549978167E-08, 2.703602682E-03, 1.504087971E-09, 9.994538786E-05, 2.978369622E-10, -3.163626292E-05
3.7E-02, 3.8073431E-08, 1.163748363E-04, 1.949534802E-09, 2.643871668E-06, 3.078801763E-10, -1.506308603E-05
3.8E-02, 4.854749121E-08, -4.315533031E-03, 2.291989771E-09, -2.086258571E-04, 3.30706395E-10, 4.063005451E-05
3.9E-02, 5.180527687E-08, -1.011700181E-02, 2.249769425E-09, -5.607229915E-04, 3.616001454E-10, -2.449294077E-05
4.E-02, 4.183898128E-08, -1.633116445E-02, 1.427441434E-09, -9.994918993E-04, 3.362011924E-10, -8.809451348E-05
4.1E-02, 1.331144596E-08, -2.079135474E-02, -5.997749267E-10, -1.410285925E-03, 2.545600517E-10, -2.43910061E-05
4.2E-02, -3.601242852E-08, -2.080139476E-02, -4.135342508E-09, -1.606420766E-03, 1.478367428E-10, -2.577059781E-05
4.3E-02, -1.029749464E-07, -1.447597902E-02, -9.102746821E-09, -1.25726203E-03, -2.189521841E-11, -1.002475759E-04
4.4E-02, -1.777866372E-07, -1.222453116E-03, -1.473446598E-08, -7.137921605E-05, -2.42418933E-10, -1.339370639E-06
4.5E-02, -2.443754765E-07, 1.766810101E-02, -1.938939294E-08, 2.024952385E-03, -3.728696517E-10, 1.814866569E-04
4.6E-02, -2.8294004E-07, 3.838045969E-02, -2.057947147E-08, 4.904736095E-03, -2.690081824E-10, 2.871383606E-04
4.7E-02, -2.746508914E-07, 5.532704887E-02, -1.53035127E-08, 8.027340725E-03, 2.274117355E-10, 4.979753041E-04
4.8E-02, -2.072876142E-07, 6.282135951E-02, -8.632216419E-10, 1.030134266E-02, 1.360791269E-09, 7.759454345E-04
4.9E-02, -8.012876718E-08, 5.676996721E-02, 2.392769461E-08, 1.039994313E-02, 3.277355236E-09, 7.904284778E-04
5.E-02, 9.365047426E-08, 3.647099088E-02, 5.748363137E-08, 7.130146568E-03, 5.841245741E-09, 5.042270944E-04
5.1E-02, 2.88283585E-07, 5.236852635E-03, 9.453912063E-08, -1.309904784E-04, 8.608323752E-09, -9.784671093E-05
5.2E-02, 4.701989062E-07, -3.067241894E-02, 1.261057552E-07, -1.084668344E-02, 1.070325075E-08, -1.246447048E-03
5.3E-02, 6.05330424E-07, -6.289529177E-02, 1.407607875E-07, -2.297652083E-02, 1.077110778E-08, -2.807690774E-03
5.4E-02, 6.677841562E-07, -8.24604907E-02, 1.273296356E-07, -3.319589533E-02, 7.281747602E-09, -4.30674726E-03
5.5E-02, 6.469267358E-07, -8.416204942E-02, 7.841078426E-08, -3.777959616E-02, -1.028584938E-09, -5.335205569E-03
5.6E-02, 5.488081637E-07, -7.036040767E-02, -6.263833105E-09, -3.373205857E-02, -1.462463192E-08, -5.236243281E-03
5.7E-02, 3.909404716E-07, -4.913786533E-02, -1.176649307E-07, -1.972102826E-02, -3.242532144E-08, -3.173070842E-03
5.8E-02, 1.942040033E-07, -2.859963771E-02, -2.373980701E-07, 3.056851389E-03, -5.127528685E-08, 1.074493487E-03
5.9E-02, -2.31636398E-08, -1.266264651E-02, -3.40458599E-07, 3.02883507E-02, -6.606484442E-08, 7.046304583E-03
