TIME, N5_UZ, N5_AZ, N6_UZ, N6_AZ, N7_UZ, N7_AZ
1.E-03, 2.125682099E-15, 4.251258969E-09, 3.072871405E-16, 6.145590692E-10, 2.656343806E-17, 5.312556112E-11
2.E-03, 3.922996115E-14, 6.570462218E-08, 6.751401229E-15, 1.165885158E-08, 6.581265901E-16, 1.156849151E-09
3.E-03, 3.309554321E-13, 4.435312174E-07, 6.804849102E-14, 9.804547336E-08, 7.576335312E-15, 1.141623959E-08
4.E-03, 1.688844362E-12, 1.688780644E-06, 4.148813321E-13, 4.730204801E-07, 5.364234463E-14, 6.687844111E-08
5.E-03, 5.82699816E-12, 3.871740641E-06, 1.697620483E-12, 1.398783945E-06, 2.605436811E-13, 2.54789837E-07
6.E-03, 1.447788589E-11, 5.153757815E-06, 4.889664674E-12, 2.419831811E-06, 9.168428689E-13, 6.44003212E-07
7.E-03, 2.730852512E-11, 3.205795147E-06, 1.014335926E-11, 1.703506426E-06, 2.408860218E-12, 1.027435854E-06
8.E-03, 4.188554331E-11, 2.869378166E-07, 1.547528686E-11, -1.547014391E-06, 4.816370846E-12, 8.035630492E-07
9.E-03, 5.759042175E-11, 1.968693274E-06, 1.865348497E-11, -2.760520496E-06, 7.490017935E-12, -2.712811641E-07
1.E-02, 7.749245619E-11, 6.425637678E-06, 2.208647224E-11, 3.269993937E-06, 9.535611803E-12, -9.848430079E-07
1.1E-02, 1.03167644E-10, 5.120793081E-06, 3.151589468E-11, 8.722993484E-06, 1.120436069E-11, 2.311226673E-07
1.2E-02, 1.306331245E-10, -1.540196728E-06, 4.547798286E-11, 3.425656399E-07, 1.404623798E-11, 2.115147385E-06
1.3E-02, 1.554809186E-10, -3.695298195E-06, 5.447529839E-11, -1.027227877E-05, 1.857005642E-11, 1.248789998E-06
1.4E-02, 1.805732067E-10, 4.184157397E-06, 5.801578134E-11, -6.41723007E-07, 2.274998451E-11, -1.936567286E-06
1.5E-02, 2.146766733E-10, 1.38382819E-05, 6.686531789E-11, 1.126010396E-05, 2.485782063E-11, -2.207692127E-06
1.6E-02, 2.57498635E-10, 3.59912022E-06, 8.117461528E-11, -3.402688776E-07, 2.692896877E-11, 2.134275955E-06
1.7E-02, 2.94214654E-10, -1.581118253E-05, 9.302525165E-11, -4.577542613E-06, 3.252394913E-11, 4.913466575E-06
1.8E-02, 3.270732414E-10, 8.09542049E-06, 1.087825329E-10, 1.239078717E-05, 4.065880196E-11, 1.663881132E-07
1.9E-02, 3.850130437E-10, 4.206764118E-05, 1.318928888E-10, 2.31607589E-06, 4.57213273E-11, -6.311107819E-06
2.E-02, 4.658877793E-10, 3.803394176E-06, 1.485577072E-10, -1.520766602E-05, 4.740834147E-11, -4.401567424E-07
2.1E-02, 5.411700851E-10, -1.49898813E-05, 1.645223793E-10, 1.380672617E-05, 5.526741563E-11, 1.278433213E-05
2.2E-02, 6.359969564E-10, 5.407843274E-05, 1.981068424E-10, 2.143401971E-05, 7.259847851E-11, 6.160082322E-06
2.3E-02, 7.753206056E-10, 3.491787504E-05, 2.346769844E-10, -1.546270065E-05, 8.653000659E-11, -1.2959271E-05
2.4E-02, 9.007599508E-10, -6.268723888E-05, 2.66287554E-10, 5.542160608E-06, 9.261610357E-11, -2.732200886E-06
2.5E-02, 9.720459197E-10, -4.562161129E-05, 3.161414564E-10, 3.094576386E-05, 1.062623839E-10, 1.785290876E-05
