TIME, N5_UZ, N5_AZ, N6_UZ, N6_AZ, N7_UZ, N7_AZ
1.E-03, 1.417121399E-15, 2.834172646E-09, 2.048580937E-16, 4.097060461E-10, 1.77089587E-17, 3.541704075E-11
2.E-03, 2.615330743E-14, 4.380308146E-08, 4.500934153E-15, 7.772567718E-09, 4.387510601E-16, 7.712327673E-10
3.E-03, 2.206369548E-13, 2.956874783E-07, 4.536566068E-14, 6.53636489E-08, 5.050890208E-15, 7.610826393E-09
4.E-03, 1.125896241E-12, 1.125853762E-06, 2.765875547E-13, 3.153469868E-07, 3.576156309E-14, 4.458562741E-08
5.E-03, 3.88466544E-12, 2.581160427E-06, 1.131746988E-12, 9.325226298E-07, 1.736957874E-13, 1.698598914E-07
6.E-03, 9.653275813E-12, 3.438542244E-06, 3.25997184E-12, 1.613611979E-06, 6.112454697E-13, 4.293692546E-07
7.E-03, 1.822977571E-11, 2.177269324E-06, 6.766408721E-12, 1.142836891E-06, 1.606314589E-12, 6.856714332E-07
8.E-03, 2.81177168E-11, 4.455928331E-07, 1.035731571E-11, -9.738802634E-07, 3.215458324E-12, 5.424859084E-07
9.E-03, 3.932251462E-11, 2.188054458E-06, 1.267003526E-11, -1.582548016E-06, 5.024205729E-12, -1.432730871E-07
1.E-02, 5.458843895E-11, 5.934213837E-06, 1.561642305E-11, 2.849812069E-06, 6.498881716E-12, -5.248826508E-07
1.1E-02, 7.514082833E-11, 4.63882607E-06, 2.331353046E-11, 6.651713751E-06, 7.93174251E-12, 4.412315516E-07
1.2E-02, 9.693712401E-11, -2.150985113E-06, 3.430409696E-11, -6.462006916E-08, 1.045017967E-11, 1.7299335E-06
1.3E-02, 1.152570895E-10, -4.80180559E-06, 4.06820854E-11, -9.160649183E-06, 1.420787548E-11, 7.486279135E-07
1.4E-02, 1.331428881E-10, 3.933317896E-06, 4.159145791E-11, -1.7768797E-06, 1.731678608E-11, -2.046196692E-06
1.5E-02, 1.601233534E-10, 1.425612707E-05, 4.75497165E-11, 1.187478787E-05, 1.836260736E-11, -2.080051887E-06
1.6E-02, 1.961616285E-10, 3.859895764E-06, 6.231253935E-11, 5.734697199E-06, 1.954797599E-11, 2.359104415E-06
1.7E-02, 2.25548266E-10, -1.716330293E-05, 7.611485579E-11, -7.655880027E-06, 2.449452926E-11, 5.16334667E-06
1.8E-02, 2.452157848E-10, -2.27569395E-06, 8.407882298E-11, -4.021073244E-06, 3.194306552E-11, -1.592596972E-07
1.9E-02, 2.790155658E-10, 3.054051881E-05, 9.109149775E-11, 2.11867612E-06, 3.548421195E-11, -7.65558478E-06
2.E-02, 3.344771063E-10, 1.278395744E-05, 1.007607691E-10, 3.194458423E-06, 3.39017279E-11, -2.591923537E-06
2.1E-02, 3.886991385E-10, -1.526365742E-05, 1.175131779E-10, 1.097170794E-05, 3.679676235E-11, 1.154697837E-05
2.2E-02, 4.409008231E-10, 1.122228232E-05, 1.419693624E-10, 4.436304174E-06, 4.981159626E-11, 8.693023677E-06
2.3E-02, 5.092815672E-10, 2.113691321E-05, 1.613364661E-10, -1.461460745E-05, 6.158970912E-11, -1.116644E-05
2.4E-02, 5.793093219E-10, -1.784273709E-05, 1.726676636E-10, -1.45786334E-06, 6.233273394E-11, -1.090425939E-05
2.5E-02, 6.200449275E-10, -4.074211108E-05, 1.92479243E-10, 1.841910613E-05, 6.306645345E-11, 1.088562886E-05
2.6E-02, 6.003243204E-10, -8.016936593E-05, 2.22171182E-10, 1.342058311E-06, 7.581849536E-11, 1.315151871E-05
2.7E-02, 4.585497459E-10, -1.639384008E-04, 2.481592507E-10, -8.75040834E-06, 9.334095839E-11, -3.610698287E-06
2.8E-02, 1.363328146E-10, -1.969477342E-04, 2.720532575E-10, 4.562302659E-06, 1.045716003E-10, -8.973204732E-06
2.9E-02, -3.492247472E-10, -1.297346142E-04, 2.995697139E-10, 2.682954908E-06, 1.095399446E-10, -3.551401774E-06
3.E-02, -8.751177629E-10, 4.906201044E-05, 3.269037627E-10, -3.048026264E-06, 1.165724122E-10, 7.679515526E-06
