TIME, N1_UZ, N1_AZ, N2_UZ, N2_AZ, N3_UZ, N3_AZ, N4_UZ, N4_AZ
1.E-03, -5.311917625E-11, -1.062357229E-04, 9.387676538E-13, 1.877488835E-06, 1.464268577E-13, 2.928464668E-07, 2.210801878E-14, 4.421494313E-08
2.E-03, -2.749477964E-10, -2.311852792E-04, 9.900181254E-12, 1.416759087E-05, 1.80205562E-12, 2.725511481E-06, 3.482103117E-13, 5.637629123E-07
3.E-03, -1.379815379E-10, 9.487448098E-04, 4.728245669E-11, 4.26739394E-05, 1.001424795E-11, 1.038753117E-05, 2.462169968E-12, 3.011914558E-06
4.E-03, 3.255350827E-09, 5.563932E-03, 1.426798825E-10, 7.335649701E-05, 3.380131819E-11, 2.07622403E-05, 1.029754332E-11, 8.430875819E-06
5.E-03, 1.935690273E-08, 1.985232195E-02, 3.424332511E-10, 1.353544805E-04, 8.0163564E-11, 2.438826252E-05, 2.840056442E-11, 1.210449916E-05
6.E-03, 7.771712945E-08, 6.466445361E-02, 7.957017623E-10, 3.7167238E-04, 1.500873914E-10, 2.273488275E-05, 5.541941834E-11, 5.727337332E-06
7.E-03, 2.377567339E-07, 0.138694141, 1.869181752E-09, 8.687474787E-04, 2.451481817E-10, 2.753890065E-05, 8.384700854E-11, -2.909976292E-06
8.E-03, 5.246536162E-07, 0.11502299, 4.086079511E-09, 1.418089804E-03, 3.709276395E-10, 3.389853543E-05, 1.146305489E-10, 7.621511453E-06
9.E-03, 7.924886648E-07, -0.15314313, 7.582989239E-09, 1.141952859E-03, 5.295762371E-10, 3.183985357E-05, 1.610151809E-10, 2.358089547E-05
1.E-02, 7.837229667E-07, -0.400062347, 1.047165059E-08, -2.358388165E-03, 7.057890317E-10, 3.289088857E-06, 2.235585903E-10, 8.737202542E-06
1.1E-02, 5.126996266E-07, -0.124461966, 6.270799745E-09, -1.182054888E-02, 8.344110475E-10, -9.846937188E-05, 2.868236726E-10, -7.294359838E-06
1.2E-02, 3.380006642E-07, 0.317115464, -1.654939367E-08, -2.54181195E-02, 7.772430683E-10, -2.731100634E-04, 3.52315254E-10, 1.174698298E-05
1.3E-02, 3.124583912E-07, -1.878748923E-02, -6.983845568E-08, -3.551972065E-02, 3.193201077E-10, -5.28398447E-04, 4.265779397E-10, 5.796211781E-06
1.4E-02, -1.112079567E-07, -0.777464503, -1.596726885E-07, -3.757071937E-02, -8.47549142E-10, -8.894929361E-04, 4.932587094E-10, -2.096049536E-05
1.5E-02, -1.305504942E-06, -0.763812122, -2.865815897E-07, -3.657859629E-02, -2.922045324E-09, -9.257701408E-04, 5.589360496E-10, 1.895242895E-05
1.6E-02, -2.958545165E-06, -0.153674072, -4.475630568E-07, -3.156665548E-02, -5.400135381E-09, 1.185646732E-04, 6.537970804E-10, 3.941661705E-05
1.7E-02, -4.634959391E-06, 0.10693444, -6.231767582E-07, 2.301590267E-03, -6.579325256E-09, 2.479220478E-03, 7.683959501E-10, 5.890953449E-08
1.8E-02, -6.307967583E-06, -0.100119003, -7.580206578E-07, 7.923753185E-02, -3.472865902E-09, 6.092061896E-03, 9.313505713E-10, 9.664937677E-05
1.9E-02, -8.208884667E-06, -0.35570088, -7.772893141E-07, 0.151913532, 8.148599409E-09, 1.093793526E-02, 1.275289903E-09, 2.653214136E-04
2.E-02, -1.044460672E-05, -0.313914359, -6.367967444E-07, 0.167609764, 3.342481412E-08, 1.637156346E-02, 1.917288971E-09, 3.307992704E-04
2.1E-02, -1.293895444E-05, -0.203333484, -3.301378263E-07, 0.164722564, 7.704509217E-08, 2.031660013E-02, 2.956582057E-09, 4.637859058E-04
2.2E-02, -1.569156357E-05, -0.313187315, 1.556238504E-07, 0.19348253, 1.399854905E-07, 1.832375116E-02, 4.495332466E-09, 5.351330706E-04
2.3E-02, -1.86551675E-05, -0.108812036, 8.266921644E-07, 0.177132276, 2.151362856E-07, 6.097187185E-03, 6.35278156E-09, 1.022725361E-04
2.4E-02, -2.148817927E-05, 0.369999136, 1.604619221E-06, 3.658678323E-02, 2.859835767E-07, -1.470412485E-02, 7.830337747E-09, -8.620532698E-04
2.5E-02, -2.401388656E-05, 0.244622046, 2.350955301E-06, -9.977038279E-02, 3.298790747E-07, -3.919943876E-02, 7.652922436E-09, -2.447879322E-03
2.6E-02, -2.658087552E-05, -0.327186319, 3.014750126E-06, -6.53147419E-02, 3.205962818E-07, -6.715707946E-02, 3.868015235E-09, -4.767096503E-03
2.7E-02, -2.955502078E-05, -0.487135567, 3.656969395E-06, 2.216487927E-02, 2.298902626E-07, -9.568942151E-02, -5.86745617E-09, -7.134038521E-03
2.8E-02, -3.278378182E-05, -2.210235964E-02, 4.2789691E-06, -6.260096776E-02, 3.767912852E-08, -0.107321179, -2.342827044E-08, -8.516665085E-03
2.9E-02, -3.576010719E-05, 0.526977863, 4.76244737E-06, -0.214443221, -2.511512079E-07, -8.591767961E-02, -4.910369801E-08, -7.712598111E-03
3.E-02, -3.821245667E-05, 0.520983586, 5.057432574E-06, -0.162546661, -6.040633458E-07, -4.22460297E-02, -8.01946832E-08, -3.118575074E-03
3.1E-02, -4.038490066E-05, 3.882970425E-02, 5.266151816E-06, -9.984079345E-03, -9.765855111E-07, 3.026039331E-03, -1.096878446E-07, 6.31415977E-03
3.2E-02, -4.269558647E-05, -0.315318795, 5.427977244E-06, -8.379910626E-02, -1.320504477E-06, 5.418015138E-02, -1.260010898E-07, 2.004562775E-02
3.3E-02, -4.52410632E-05, -0.154270452, 5.399955449E-06, -0.295896272, -1.578130805E-06, 0.118405004, -1.146811599E-07, 3.522073074E-02
3.4E-02, -4.767413754E-05, 0.379073296, 5.097566933E-06, -0.252842571, -1.694834952E-06, 0.163439952, -6.212440751E-08, 4.725298392E-02
3.5E-02, -4.957365569E-05, 0.688046533, 4.67971696E-06, 2.191921656E-02, -1.652584674E-06, 0.154469654, 3.99109859E-08, 5.170441735E-02
3.6E-02, -5.094445396E-05, 0.369401457, 4.329830425E-06, 0.114012612, -1.473714444E-06, 0.118770171, 1.898301512E-07, 4.406330896E-02
3.7E-02, -5.226862436E-05, -0.276145695, 4.017618679E-06, -3.866183022E-02, -1.182392867E-06, 0.106132029, 3.719279937E-07, 2.029426582E-02
3.8E-02, -5.399519242E-05, -0.528659377, 3.645968273E-06, -8.021942093E-02, -7.879034479E-07, 0.100203973, 5.5513501E-07, -1.807577278E-02
3.9E-02, -5.595359253E-05, 6.498388435E-02, 3.270642496E-06, 7.286771523E-02, -3.177622718E-07, 5.110029947E-02, 6.986512467E-07, -6.130580894E-02
4.E-02, -5.748704131E-05, 0.784926827, 2.99033324E-06, 0.117168964, 1.687831856E-07, -1.829197823E-02, 7.630571097E-07, -9.691510498E-02
4.1E-02, -5.836605511E-05, 0.523959536, 2.755361548E-06, -2.649275101E-02, 6.248854468E-07, -4.25952936E-02, 7.204272925E-07, -0.117156472
4.2E-02, -5.917090553E-05, -0.375633073, 2.469997302E-06, -7.429579407E-02, 1.040597173E-06, -3.818562594E-02, 5.599317227E-07, -0.118575286
4.3E-02, -6.055462248E-05, -0.782111898, 2.19537237E-06, 9.577240004E-02, 1.40051421E-06, -7.340291756E-02, 2.91842865E-07, -9.661161959E-02
4.4E-02, -6.243856322E-05, -0.218348015, 2.095708256E-06, 0.254151506, 1.658899967E-06, -0.129659941, -4.989978431E-08, -5.069623254E-02
4.5E-02, -6.419130528E-05, 0.480754121, 2.226348831E-06, 0.206460747, 1.786730113E-06, -0.131452338, -4.144532811E-07, 5.074557109E-03
4.6E-02, -6.560122938E-05, 0.204897358, 2.48596498E-06, 5.149024099E-02, 1.801110155E-06, -9.544776826E-02, -7.512004908E-07, 5.053825302E-02
4.7E-02, -6.715996326E-05, -0.502521503, 2.76872467E-06, -5.205434894E-03, 1.71813821E-06, -9.925531954E-02, -1.022616693E-06, 8.012392453E-02
4.8E-02, -6.927544271E-05, -0.610979964, 3.083114638E-06, 6.846499428E-02, 1.522609245E-06, -0.125859025, -1.203731543E-06, 0.100478849
4.9E-02, -7.176993686E-05, -0.147053483, 3.497918255E-06, 0.132363523, 1.215243671E-06, -9.781524806E-02, -1.279883292E-06, 0.109447566
5.E-02, -7.426535909E-05, 0.145205545, 4.030084205E-06, 0.102362272, 8.414594903E-07, -3.502179232E-02, -1.25166966E-06, 9.928346275E-02
5.1E-02, -7.671529938E-05, -5.423755252E-02, 4.63541723E-06, 4.397147332E-02, 4.41594094E-07, -1.713969693E-02, -1.13281498E-06, 8.199854934E-02
5.2E-02, -7.930305373E-05, -0.221395419, 5.278119316E-06, 3.076592689E-02, 1.713867492E-08, -3.204045953E-02, -9.32465099E-07, 8.099153022E-02
5.3E-02, -8.206971251E-05, -0.136414911, 5.952890253E-06, 3.337209143E-02, -4.316092328E-07, -1.654516149E-02, -6.469563686E-07, 8.932625337E-02
5.4E-02, -8.496345038E-05, -0.117740169, 6.642597751E-06, -3.498303538E-03, -8.81534123E-07, 1.419145027E-02, -2.810180696E-07, 7.153344815E-02
5.5E-02, -8.806105228E-05, -0.289986224, 7.302341686E-06, -5.642907862E-02, -1.313521943E-06, 2.168301593E-02, 1.304492241E-07, 1.952483497E-02
5.6E-02, -9.139664044E-05, -0.185994778, 7.896290396E-06, -7.516196497E-02, -1.713529657E-06, 4.227655278E-02, 5.360346646E-07, -3.128885884E-02
5.7E-02, -9.470858076E-05, 0.233290983, 8.418865112E-06, -6.758609139E-02, -2.042999588E-06, 9.87987555E-02, 8.969868687E-07, -5.797789998E-02
5.8E-02, -9.773728639E-05, 0.333185801, 8.879085463E-06, -5.712264517E-02, -2.261465051E-06, 0.123211227, 1.189242841E-06, -7.941441349E-02
5.9E-02, -1.006745521E-04, -0.150298836, 9.284806568E-06, -5.187571045E-02, -2.376748718E-06, 8.315293662E-02, 1.389164393E-06, -0.105254466
6.E-02, -1.03986141E-04, -0.598355423, 9.624872538E-06, -7.94338801E-02, -2.422202827E-06, 5.6505286E-02, 1.48409698E-06, -0.104724078
6.1E-02, -1.076705382E-04, -0.147275644, 9.858119724E-06, -0.134203682, -2.395780822E-06, 8.724639652E-02, 1.494088088E-06, -6.515924649E-02
6.2E-02, -1.111172397E-04, 0.62267345, 9.958717619E-06, -0.131096338, -2.270450291E-06, 0.110571376, 1.454632852E-06, -3.373288152E-02
6.3E-02, -1.139026658E-04, 0.699888155, 9.970550459E-06, -4.643438105E-02, -2.045820263E-06, 8.802804503E-02, 1.372656587E-06, -5.130851057E-02
6.4E-02, -1.163952142E-04, -0.114121506, 9.953759021E-06, -1.081236687E-02, -1.743108451E-06, 6.813503815E-02, 1.222182307E-06, -8.568775776E-02
6.5E-02, -1.193231918E-04, -0.75675209, 9.882875599E-06, -9.737034893E-02, -1.371889855E-06, 6.887849476E-02, 9.868304066E-07, -8.406814114E-02
6.6E-02, -1.22717992E-04, -0.176908226, 9.681494332E-06, -0.163627069, -9.432531336E-07, 4.59583769E-02, 6.817636851E-07, -5.536152574E-02
6.7E-02, -1.25830426E-04, 0.741647008, 9.358836675E-06, -7.892775446E-02, -4.91311967E-07, 6.504595073E-04, 3.287736723E-07, -4.048469007E-02
6.8E-02, -1.281113101E-04, 0.921464715, 9.024424732E-06, 5.541995517E-02, -4.752591735E-08, -1.696132674E-02, -6.021866003E-08, -3.152016241E-02
6.9E-02, -1.299001383E-04, 6.266111965E-02, 8.744597652E-06, 5.375238003E-02, 3.814128443E-07, -1.2733169E-02, -4.598128259E-07, 1.03158908E-02
7.E-02, -1.320014545E-04, -0.68765371, 8.455145688E-06, -7.300160872E-02, 7.862494066E-07, -3.547064091E-02, -8.184392914E-07, 7.161962069E-02
7.1E-02, -1.34616745E-04, -0.340305798, 8.07486729E-06, -0.108654042, 1.134851693E-06, -7.699802311E-02, -1.09516159E-06, 9.218961336E-02
7.2E-02, -1.371444537E-04, 0.515467639, 7.658537855E-06, 3.655021688E-02, 1.401539868E-06, -8.683087349E-02, -1.296452022E-06, 5.867457546E-02
7.3E-02, -1.389598483E-04, 0.909173757, 7.344365312E-06, 0.167765628, 1.594129305E-06, -6.136681601E-02, -1.453012365E-06, 3.078501566E-02
7.4E-02, -1.401687721E-04, 0.303779561, 7.171712847E-06, 0.115277059, 1.735717135E-06, -4.063607173E-02, -1.568338914E-06, 5.168194239E-02
7.5E-02, -1.414386341E-04, -0.425664369, 7.047431123E-06, -1.853604372E-02, 1.834763977E-06, -4.44456176E-02, -1.614688356E-06, 8.627255039E-02
