TIME, N1_UZ, N1_AZ, N2_UZ, N2_AZ, N3_UZ, N3_AZ, N4_UZ, N4_AZ
1.E-03, -4.647927922E-11, -9.295625754E-05, 8.214216971E-13, 1.642802731E-06, 1.281235005E-13, 2.562406584E-07, 1.934451643E-14, 3.868807524E-08
2.E-03, -2.405793218E-10, -2.022871193E-04, 8.662658598E-12, 1.239664201E-05, 1.576798667E-12, 2.384822546E-06, 3.046840228E-13, 4.932925483E-07
3.E-03, -1.207338457E-10, 8.301517086E-04, 4.137214961E-11, 3.733969697E-05, 8.762466959E-12, 9.089089778E-06, 2.154398722E-12, 2.635425238E-06
4.E-03, 2.848431973E-09, 4.8684405E-03, 1.248448972E-10, 6.418693489E-05, 2.957615342E-11, 1.816696026E-05, 9.010350406E-12, 7.377016341E-06
5.E-03, 1.693728989E-08, 1.737078171E-02, 2.996290947E-10, 1.184351704E-04, 7.01431185E-11, 2.133972971E-05, 2.485049387E-11, 1.059143677E-05
6.E-03, 6.795890705E-08, 5.649423664E-02, 6.972088622E-10, 3.271529249E-04, 1.314171942E-10, 2.007447135E-05, 4.850520008E-11, 5.037837589E-06
7.E-03, 2.077015514E-07, 0.120947681, 1.643960504E-09, 7.711879835E-04, 2.155007774E-10, 2.554439661E-05, 7.355691195E-11, -2.243929406E-06
8.E-03, 4.577723053E-07, 9.971079334E-02, 3.605486632E-09, 1.258362706E-03, 3.293189466E-10, 3.392484752E-05, 1.015062959E-10, 8.038939812E-06
9.E-03, 6.894782364E-07, -0.13643733, 6.691548168E-09, 9.907251092E-04, 4.76497406E-10, 3.279589759E-05, 1.452008249E-10, 2.345155046E-05
1.E-02, 6.736904455E-07, -0.358553509, 9.218002224E-09, -2.109886609E-03, 6.416078748E-10, 3.068667485E-06, 2.051019839E-10, 8.962253603E-06
1.1E-02, 4.138261406E-07, -0.129607356, 5.493618147E-09, -1.039171381E-02, 7.641251118E-10, -8.825414182E-05, 2.641359124E-10, -1.069711992E-05
1.2E-02, 2.195558776E-07, 0.260799125, -1.457355412E-08, -2.229384731E-02, 7.247015252E-10, -2.356270877E-04, 3.209939373E-10, 6.344801513E-06
1.3E-02, 1.715830318E-07, 3.180742846E-02, -6.126686252E-08, -3.095852006E-02, 3.400377354E-10, -4.548519497E-04, 3.878484148E-10, 1.364884575E-05
1.4E-02, -1.334351497E-07, -0.545900955, -1.393558142E-07, -3.183286617E-02, -6.551190494E-10, -7.661331035E-04, 4.577987377E-10, -7.457178936E-06
1.5E-02, -1.008767384E-06, -0.594737443, -2.47891363E-07, -2.906032061E-02, -2.429114869E-09, -7.915529609E-04, 5.279928059E-10, 7.943789344E-06
1.6E-02, -2.30947784E-06, -0.256018504, -3.821639217E-07, -2.241380225E-02, -4.53188468E-09, 1.339892764E-04, 6.128482738E-10, 2.137992136E-05
1.7E-02, -3.740829366E-06, -5.261945681E-03, -5.236273119E-07, 8.031651159E-03, -5.440618015E-09, 2.2540695E-03, 7.09969606E-10, 3.151697807E-06
1.8E-02, -5.120257995E-06, 0.109109457, -6.246930533E-07, 7.276327611E-02, -2.501565678E-09, 5.441489318E-03, 8.507457609E-10, 8.415559852E-05
1.9E-02, -6.483922504E-06, -7.757544801E-02, -6.233025076E-07, 0.132149793, 7.926759323E-09, 9.537045808E-03, 1.149709619E-09, 2.322204513E-04
2.E-02, -8.075265027E-06, -0.377783423, -4.84364059E-07, 0.14294673, 3.01241395E-08, 1.400106543E-02, 1.715200371E-09, 3.008346714E-04
2.1E-02, -1.004501172E-05, -0.379029527, -2.072844475E-07, 0.133335398, 6.779892946E-08, 1.695379067E-02, 2.619142753E-09, 3.760671166E-04
2.2E-02, -1.231535161E-05, -0.22215627, 2.070502063E-07, 0.141174448, 1.211810889E-07, 1.446104721E-02, 3.918071183E-09, 4.139073481E-04
2.3E-02, -1.469107997E-05, 1.13768517E-02, 7.482344619E-07, 0.112525892, 1.833893576E-07, 3.191291587E-03, 5.462748597E-09, 7.759755926E-05
2.4E-02, -1.692982709E-05, 0.262587629, 1.345319461E-06, -7.234235087E-04, 2.39578041E-07, -1.52304029E-02, 6.64967403E-09, -7.930950961E-04
2.5E-02, -1.895771081E-05, 0.15914598, 1.893879758E-06, -9.632737916E-02, 2.699216649E-07, -3.64597048E-02, 6.333269673E-09, -2.213557174E-03
2.6E-02, -2.101421669E-05, -0.216390246, 2.364123084E-06, -6.030845128E-02, 2.524599158E-07, -5.915101608E-02, 2.833773686E-09, -4.152620413E-03
2.7E-02, -2.332520588E-05, -0.29258384, 2.812701184E-06, 1.69788295E-02, 1.654577801E-07, -7.992982907E-02, -5.80666845E-09, -6.129276516E-03
2.8E-02, -2.575963184E-05, 4.570737967E-02, 3.261131942E-06, -1.727156686E-02, -3.92069678E-09, -8.482317603E-02, -2.108512E-08, -7.146761509E-03
2.9E-02, -2.803904431E-05, 0.264325421, 3.649341666E-06, -0.103171131, -2.467781046E-07, -6.213505207E-02, -4.296710472E-08, -6.060338094E-03
3.E-02, -3.006685173E-05, 0.238885007, 3.942134908E-06, -8.766372361E-02, -5.316847777E-07, -2.196355238E-02, -6.875434302E-08, -1.750216262E-03
3.1E-02, -3.190679619E-05, 0.136842492, 4.175290477E-06, -3.161077157E-02, -8.184028621E-07, 1.834079886E-02, -9.21080771E-08, 6.617170534E-03
3.2E-02, -3.372388774E-05, -9.113511519E-02, 4.341307337E-06, -0.102664336, -1.066270138E-06, 5.936073345E-02, -1.029384173E-07, 1.84295851E-02
3.3E-02, -3.560332981E-05, -3.357450634E-02, 4.338669298E-06, -0.234646219, -1.233226715E-06, 0.102460695, -8.915229688E-08, 3.080335371E-02
3.4E-02, -3.738710114E-05, 0.224919425, 4.111234219E-06, -0.214950873, -1.286836266E-06, 0.124233853, -4.00842548E-08, 3.976055692E-02
3.5E-02, -3.897682197E-05, 0.16318613, 3.750351566E-06, -5.194486965E-02, -1.225354331E-06, 0.105949624, 4.960236113E-08, 4.147670406E-02
3.6E-02, -4.042156509E-05, 0.126764191, 3.390623657E-06, 5.425634606E-02, -1.074729232E-06, 7.233659014E-02, 1.761585096E-07, 3.226252058E-02
3.7E-02, -4.173436443E-05, 0.137127212, 3.080949351E-06, 4.585174809E-02, -8.586043272E-07, 5.866263881E-02, 3.237444389E-07, 9.797212529E-03
3.8E-02, -4.298034892E-05, -3.497530015E-03, 2.810815903E-06, 3.322920328E-02, -5.851509191E-07, 5.599446912E-02, 4.645181954E-07, -2.34214599E-02
3.9E-02, -4.421176737E-05, 3.262523264E-02, 2.583282184E-06, 5.197022606E-02, -2.660890004E-07, 3.522290191E-02, 5.644116777E-07, -5.833914268E-02
4.E-02, -4.535980309E-05, 0.134142909, 2.401014691E-06, 3.856305012E-02, 7.346595837E-08, 5.76305043E-03, 5.932204588E-07, -8.383044005E-02
4.1E-02, -4.641629822E-05, 4.894026307E-02, 2.233971416E-06, -8.11459831E-03, 4.135672949E-07, -4.67064069E-03, 5.333645402E-07, -9.349917407E-02
4.2E-02, -4.748242817E-05, -6.821106785E-02, 2.053168017E-06, -1.940654098E-02, 7.46156683E-07, -1.035303474E-02, 3.838613E-07, -8.579568869E-02
4.3E-02, -4.862599883E-05, -8.667164553E-02, 1.882487941E-06, 3.965231839E-02, 1.051681048E-06, -4.377654164E-02, 1.613692421E-07, -6.018217502E-02
4.4E-02, -4.983709073E-05, -4.837098606E-02, 1.797912332E-06, 0.132556629, 1.290749083E-06, -8.913628404E-02, -1.012580497E-07, -2.008842736E-02
4.5E-02, -5.110795683E-05, -7.117573957E-02, 1.865037046E-06, 0.170845358, 1.431492614E-06, -0.107513229, -3.63150235E-07, 2.155873397E-02
4.6E-02, -5.253480561E-05, -0.24078762, 2.070482091E-06, 0.105796545, 1.465532175E-06, -0.105894709, -5.895447643E-07, 4.943682703E-02
4.7E-02, -5.425660826E-05, -0.349123605, 2.338296019E-06, 1.894054247E-02, 1.390959125E-06, -0.111330341, -7.610584073E-07, 6.032512204E-02
4.8E-02, -5.622871963E-05, -0.15149801, 2.622300801E-06, 1.343981882E-02, 1.206494151E-06, -0.108453882, -8.714150477E-07, 6.198893849E-02
4.9E-02, -5.819484183E-05, 0.163477541, 2.94426216E-06, 6.247330549E-02, 9.308934359E-07, -7.381801938E-02, -9.213954346E-07, 5.876363531E-02
5.E-02, -5.999369774E-05, 0.17106149, 3.342925772E-06, 9.093173905E-02, 6.029800004E-07, -3.080721845E-02, -9.162639353E-07, 5.146017271E-02
5.1E-02, -6.181816073E-05, -0.222272045, 3.831813888E-06, 8.951747978E-02, 2.560617002E-07, -7.202228856E-03, -8.603952649E-07, 5.001398943E-02
5.2E-02, -6.400635417E-05, -0.505195137, 4.395572914E-06, 6.022482244E-02, -9.026229838E-08, 8.39075398E-03, -7.467162629E-07, 6.560642852E-02
5.3E-02, -6.664130018E-05, -0.38831374, 4.986332379E-06, -6.223494877E-03, -4.217395376E-07, 2.130290777E-02, -5.570614732E-07, 8.634525988E-02
5.4E-02, -6.94591589E-05, 2.248472961E-02, 5.541094588E-06, -6.577162799E-02, -7.364082781E-07, 1.231449148E-02, -2.82859007E-07, 8.275058467E-02
5.5E-02, -7.205970602E-05, 0.412142491, 6.032117485E-06, -6.170797369E-02, -1.046127936E-06, -2.416577481E-03, 5.50024741E-08, 4.456781958E-02
5.6E-02, -7.436586875E-05, 0.176637812, 6.478951452E-06, -2.6669695E-02, -1.346107486E-06, 2.189607181E-02, 4.114715696E-07, -7.352617976E-03
5.7E-02, -7.675990245E-05, -0.35238376, 6.898301725E-06, -2.82969726E-02, -1.599857454E-06, 7.056319661E-02, 7.383550503E-07, -5.181876936E-02
5.8E-02, -7.958394336E-05, -0.50763599, 7.279321153E-06, -4.836496768E-02, -1.776900284E-06, 8.285187936E-02, 9.958132194E-07, -8.703192815E-02
5.9E-02, -8.277911615E-05, -0.23463316, 7.615132083E-06, -4.2052435E-02, -1.882977395E-06, 5.907966538E-02, 1.155071262E-06, -0.109368572
6.E-02, -8.588628967E-05, 0.41062778, 7.908812456E-06, -4.220812139E-02, -1.932260252E-06, 5.45082627E-02, 1.209253953E-06, -0.100782655
6.1E-02, -8.844669159E-05, 0.68292851, 8.13957566E-06, -8.362574177E-02, -1.916347192E-06, 7.5883499E-02, 1.183321888E-06, -5.944715431E-02
6.2E-02, -9.059955827E-05, 0.13214951, 8.270297394E-06, -0.116457875, -1.820972799E-06, 8.303958966E-02, 1.117497457E-06, -2.033723109E-02
6.3E-02, -9.293081639E-05, -0.488938059, 8.296032226E-06, -9.351664706E-02, -1.647792142E-06, 7.257295879E-02, 1.032480085E-06, -1.804807775E-02
6.4E-02, -9.579053266E-05, -0.567986107, 8.249884111E-06, -5.024904636E-02, -1.403750907E-06, 6.914800198E-02, 9.169081982E-07, -4.306083938E-02
6.5E-02, -9.894808593E-05, -2.769550934E-02, 8.165976241E-06, -2.527020758E-02, -1.09386875E-06, 6.253411441E-02, 7.498690102E-07, -5.987407756E-02
6.6E-02, -1.017702894E-04, 0.698397907, 8.05702171E-06, -2.482275881E-02, -7.381373205E-07, 2.9164826E-02, 5.25407801E-07, -5.497019309E-02
6.7E-02, -1.038694442E-04, 0.747713616, 7.907087327E-06, -5.713648254E-02, -3.749823802E-07, -1.431794286E-02, 2.531229694E-07, -4.067706033E-02
6.8E-02, -1.055835468E-04, 2.239609417E-02, 7.691254417E-06, -7.466139033E-02, -3.584828039E-08, -3.372419795E-02, -5.071280976E-08, -2.242492441E-02
6.9E-02, -1.07554655E-04, -0.53641673, 7.426308546E-06, -2.356542759E-02, 2.727736897E-07, -2.730024993E-02, -3.613566756E-07, 8.808517563E-03
7.E-02, -1.099835187E-04, -0.379102769, 7.169123656E-06, 3.908798255E-02, 5.567041567E-07, -2.208254182E-02, -6.431904841E-07, 4.8811609E-02
7.1E-02, -1.125043638E-04, 0.195137913, 6.955143959E-06, 4.732316744E-02, 8.117352168E-07, -3.571601562E-02, -8.655217053E-07, 7.019401478E-02
7.2E-02, -1.145679038E-04, 0.719475609, 6.773930824E-06, 1.821013216E-02, 1.021528515E-06, -5.475962468E-02, -1.024238646E-06, 5.703495997E-02
7.3E-02, -1.159797501E-04, 0.583924939, 6.601019958E-06, -1.605996341E-03, 1.177240235E-06, -5.340392395E-02, -1.137736025E-06, 3.340401717E-02
7.4E-02, -1.171844799E-04, -0.169689717, 6.437905406E-06, 2.119796372E-02, 1.289514802E-06, -3.34704575E-02, -1.217462733E-06, 3.413686628E-02
7.5E-02, -1.187520866E-04, -0.556075237, 6.31797726E-06, 6.517497311E-02, 1.371150381E-06, -2.780708983E-02, -1.251962203E-06, 5.631752846E-02
7.6E-02, -1.207480333E-04, -0.300609669, 6.269158668E-06, 7.704480602E-02, 1.411472593E-06, -5.481925627E-02, -1.224082959E-06, 6.844022743E-02
7.7E-02, -1.227647583E-04, 0.259050291, 6.284392191E-06, 5.105970293E-02, 1.377678422E-06, -9.34136032E-02, -1.130739554E-06, 6.24882203E-02
7.8E-02, -1.243204618E-04, 0.662999382, 6.339312303E-06, 2.83131215E-02, 1.241485154E-06, -0.111385009, -9.767636343E-07, 5.877663183E-02
7.9E-02, -1.253714058E-04, 0.346530707, 6.429846122E-06, 4.291371495E-02, 1.003516588E-06, -9.216609842E-02, -7.640946347E-07, 5.860961409E-02
8.E-02, -1.264016333E-04, -0.305100271, 6.5826135E-06, 8.155337429E-02, 7.005239106E-07, -3.788249009E-02, -5.033160779E-07, 3.760993057E-02
8.1E-02, -1.278575168E-04, -0.546219216, 6.821929748E-06, 9.154510245E-02, 3.891677628E-07, 2.115579129E-02, -2.256149953E-07, -3.764796407E-03
8.2E-02, -1.296817216E-04, -0.190430748, 7.128245519E-06, 4.245468595E-02, 1.064857721E-07, 3.619337398E-02, 3.64525081E-08, -2.750287943E-02
8.3E-02, -1.314849932E-04, 0.232302553, 7.44863805E-06, -1.43017046E-02, -1.587807121E-07, -1.361893169E-03, 2.774681602E-07, -1.460122285E-02
8.4E-02, -1.330552366E-04, 0.233759, 7.763237056E-06, 2.713354178E-03, -4.411886505E-07, -3.29216224E-02, 5.131410566E-07, 3.915964182E-03
8.5E-02, -1.344883056E-04, 4.058969155E-02, 8.112091317E-06, 6.579729189E-02, -7.432862593E-07, -6.458559466E-03, 7.482633123E-07, -5.016813766E-03
8.6E-02, -1.360714348E-04, -0.340705464, 8.529112704E-06, 7.053827056E-02, -1.023682281E-06, 4.986181946E-02, 9.648574632E-07, -3.203937145E-02
8.7E-02, -1.380396373E-04, -0.42945298, 8.982253467E-06, 1.701017053E-03, -1.24338341E-06, 7.152873878E-02, 1.13942754E-06, -5.200897444E-02
8.8E-02, -1.402130832E-04, 1.896459579E-02, 9.403585392E-06, -6.531926182E-02, -1.403963608E-06, 4.671351627E-02, 1.256862042E-06, -6.226222321E-02
8.9E-02, -1.423294199E-04, 9.526450256E-02, 9.757395697E-06, -6.972496875E-02, -1.532697689E-06, 1.697845571E-02, 1.308106463E-06, -7.011795064E-02
9.E-02, -1.444039109E-04, -1.157898559E-02, 1.0066593E-05, -1.950141223E-02, -1.647085359E-06, 1.171401663E-02, 1.289725148E-06, -6.913372715E-02
9.1E-02, -1.464670526E-04, 3.427970689E-02, 1.037260247E-05, 1.312655421E-02, -1.742267821E-06, 2.669623989E-02, 1.210619405E-06, -5.231532068E-02
9.2E-02, -1.485614824E-04, -9.685383349E-02, 1.067621747E-05, -1.791472583E-02, -1.796722214E-06, 5.475973085E-02, 1.089483235E-06, -3.174543915E-02
9.3E-02, -1.50725029E-04, -4.138636936E-02, 1.093688455E-05, -6.798139769E-02, -1.778097818E-06, 9.139779897E-02, 9.40306501E-07, -2.433545438E-02
9.4E-02, -1.528863773E-04, 4.578873876E-02, 1.112356411E-05, -7.999429587E-02, -1.658161965E-06, 0.111225579, 7.643559674E-07, -2.921206962E-02
9.5E-02, -1.550982251E-04, -0.146786514, 1.123982607E-05, -6.08410344E-02, -1.440942178E-06, 8.334301457E-02, 5.574074011E-07, -3.27841025E-02
9.6E-02, -1.574624061E-04, -0.157885626, 1.129871078E-05, -5.39130396E-02, -1.173495296E-06, 1.711141217E-02, 3.208531128E-07, -2.642748249E-02
9.7E-02, -1.598701676E-04, 7.072438062E-02, 1.129342066E-05, -7.443636858E-02, -9.161159411E-07, -3.724699151E-02, 6.529281184E-08, -1.158461468E-02
9.8E-02, -1.620950132E-04, 0.295107861, 1.120983552E-05, -8.215423264E-02, -6.952949094E-07, -3.58705192E-02, -1.929576855E-07, 6.20421928E-03
9.9E-02, -1.640342624E-04, 0.276090271, 1.105960378E-05, -5.113935087E-02, -4.838103708E-07, 1.719709999E-02, -4.367491694E-07, 2.2713842E-02
0.1, -1.658256051E-04, 1.97234912E-02, 1.08725372E-05, -2.252990044E-02, -2.313819293E-07, 6.469126827E-02, -6.524579997E-07, 3.345157426E-02
0.101, -1.676917097E-04, -0.169249623, 1.065949901E-05, -2.941287128E-02, 7.572477566E-08, 4.466637865E-02, -8.347683404E-07, 3.334556638E-02
0.102, -1.696806248E-04, -7.637623053E-02, 1.040502539E-05, -5.345801191E-02, 3.875771687E-07, -3.517461996E-02, -9.872267933E-07, 2.635822138E-02
0.103, -1.715008896E-04, 0.413671926, 1.009499239E-05, -5.766122621E-02, 6.35750286E-07, -9.218487149E-02, -1.112374365E-06, 2.826330915E-02
0.104, -1.727916737E-04, 0.6453007, 9.749600061E-06, -1.305814404E-02, 8.066179397E-07, -6.242728198E-02, -1.199748683E-06, 4.728300135E-02
0.105, -1.736604657E-04, 0.198689083, 9.421805132E-06, 4.82532297E-02, 9.557154072E-07, 1.888683535E-02, -1.229552673E-06, 6.785780867E-02
0.106, -1.746374782E-04, -0.415131236, 9.143011984E-06, 4.975152195E-02, 1.140857025E-06, 5.320270213E-02, -1.191002473E-06, 6.885090686E-02
0.107, -1.761052321E-04, -0.56636186, 8.882552506E-06, -1.308375321E-02, 1.34717174E-06, -1.08552851E-02, -1.092118196E-06, 5.181736511E-02
0.108, -1.778430795E-04, 2.616638308E-02, 8.589507014E-06, -5.208928633E-02, 1.490741005E-06, -0.114635832, -9.501900101E-07, 3.427034777E-02
0.109, -1.792482141E-04, 0.639267133, 8.272056868E-06, 3.278632582E-03, 1.502334306E-06, -0.149317592, -7.791870969E-07, 2.38790322E-02
0.11, -1.79971728E-04, 0.723979458, 8.005591712E-06, 9.869167809E-02, 1.399175225E-06, -8.018827504E-02, -5.881867934E-07, 1.611575732E-02
0.111, -1.802644993E-04, 0.137517374, 7.844217198E-06, 0.111491326, 1.263068145E-06, 1.429272946E-02, -3.854374523E-07, 7.382333114E-03
0.112, -1.807702181E-04, -0.563420969, 7.753510199E-06, 2.984435421E-02, 1.15321645E-06, 3.821934532E-02, -1.804294359E-07, -2.864959969E-03
0.113, -1.817328288E-04, -0.350377158, 7.662046786E-06, -3.135832624E-02, 1.053588026E-06, -1.777210332E-02, 1.578716768E-08, -1.471784805E-02
0.114, -1.827175921E-04, 0.306075294, 7.560609571E-06, 1.140926978E-02, 9.033230227E-07, -8.350150192E-02, 1.921931377E-07, -2.490347778E-02
0.115, -1.831554399E-04, 0.787756674, 7.514750898E-06, 9.974811051E-02, 6.662775666E-07, -9.006043137E-02, 3.418677816E-07, -2.855927831E-02
0.116, -1.828985141E-04, 0.60180601, 7.574979882E-06, 0.112428785, 3.696157856E-07, -2.917287991E-02, 4.644568417E-07, -2.561195099E-02
0.117, -1.824581864E-04, -0.235001151, 7.71304441E-06, 4.32427793E-02, 8.170836602E-08, 4.668188081E-02, 5.654040655E-07, -1.767178481E-02
0.118, -1.823882207E-04, -0.505738019, 7.862258737E-06, -2.094377119E-02, -1.446576103E-07, 7.640187514E-02, 6.559042925E-07, -3.222307722E-03
0.119, -1.826489793E-04, -0.155711029, 7.990055154E-06, -2.18930363E-02, -3.097323918E-07, 4.618114585E-02, 7.517100374E-07, 1.383337588E-02
0.12, -1.827732832E-04, 0.428614974, 8.12714645E-06, 4.048219486E-02, -4.545840988E-07, -5.7350785E-03, 8.634674233E-07, 1.807019158E-02
0.121, -1.822382949E-04, 0.889977823, 8.325865189E-06, 8.27737754E-02, -6.164407731E-07, -2.827550334E-02, 9.831082854E-07, -2.302909776E-03
0.122, -1.81333583E-04, -0.150501489, 8.588524924E-06, 4.510913252E-02, -7.919842134E-07, 9.013255295E-04, 1.08360357E-06, -3.598823824E-02
0.123, -1.812766883E-04, -1.5451529, 8.869402778E-06, -8.67339142E-03, -9.362141759E-07, 6.172547999E-02, 1.138349927E-06, -5.550997381E-02
0.124, -1.825476279E-04, -1.11054138, 9.131739242E-06, -2.840974464E-02, -9.963102924E-07, 0.106542755, 1.140406927E-06, -4.986901401E-02
0.125, -1.844567958E-04, -0.165902471, 9.367309646E-06, -2.512259689E-02, -9.583862551E-07, 8.949855117E-02, 1.097616739E-06, -3.982520348E-02
0.126, -1.861985232E-04, 0.500777743, 9.584966848E-06, -1.070386622E-02, -8.715138106E-07, 8.398869841E-03, 1.010375856E-06, -4.907586395E-02
0.127, -1.873082572E-04, 0.763224701, 9.784525788E-06, -2.549187601E-02, -8.169820036E-07, -7.308072994E-02, 8.628394411E-07, -7.151518952E-02
0.128, -1.880189706E-04, 3.482562705E-02, 9.926086251E-06, -9.050460056E-02, -8.346648829E-07, -7.135012879E-02, 6.400233782E-07, -7.904448556E-02
0.129, -1.889957787E-04, -0.567027171, 9.95355793E-06, -0.137673879, -8.75645571E-07, 2.475363167E-02, 3.49856284E-07, -5.565797047E-02
0.13, -1.905085238E-04, -0.504851177, 9.866807815E-06, -9.077114137E-02, -8.436731717E-07, 0.121153398, 2.421500218E-08, -1.529043944E-02
