TIME, N1_UZ, N1_AZ, N2_UZ, N2_AZ, N3_UZ, N3_AZ, N4_UZ, N4_AZ
3.7E-02, -3.890566414E-06, -2.318388841E-03, -2.481608178E-07, 2.31504687E-02, 7.054724768E-08, -2.542863875E-03, 1.142519893E-07, -1.640005133E-03
3.8E-02, -4.165282577E-06, -3.507526575E-02, -3.116719269E-07, 5.664864875E-02, 1.906645007E-07, -1.597353797E-02, 1.499746311E-07, -1.412137079E-02
3.9E-02, -4.463792763E-06, -1.251332573E-02, -3.016780395E-07, 9.036183155E-02, 2.877541439E-07, -3.008167451E-02, 1.654198124E-07, -2.643358069E-02
4.E-02, -4.75259579E-06, 3.192763775E-02, -2.088090956E-07, 7.538900892E-02, 3.514292178E-07, -3.674765532E-02, 1.50496322E-07, -3.430384281E-02
4.1E-02, -5.003280835E-06, 4.43091278E-02, -5.880860643E-08, 3.887390201E-02, 3.824516647E-07, -2.855777895E-02, 1.009472874E-07, -3.494734602E-02
4.2E-02, -5.231490476E-06, 6.42279749E-04, 1.232801651E-07, 2.530227084E-02, 3.904299697E-07, -1.753039842E-02, 2.027092483E-08, -2.730741651E-02
4.3E-02, -5.475720069E-06, -3.268302852E-02, 3.266958697E-07, 1.735184016E-02, 3.805442352E-07, -1.819749549E-02, -7.98114268E-08, -1.150465918E-02
4.4E-02, -5.744924644E-06, -1.726731251E-02, 5.340776774E-07, -9.419408092E-03, 3.494426082E-07, -2.423433807E-02, -1.807680784E-07, 9.756019716E-03
4.5E-02, -6.024108939E-06, -2.691737381E-03, 7.197511269E-07, -3.399758396E-02, 2.939147481E-07, -2.46182203E-02, -2.618550529E-07, 2.998339886E-02
4.6E-02, -6.318000592E-06, -2.672240363E-02, 8.685410935E-07, -3.976957698E-02, 2.12910455E-07, -2.633452232E-02, -3.068668929E-07, 4.216700617E-02
4.7E-02, -6.643140636E-06, -3.57753131E-02, 9.762007424E-07, -4.24909428E-02, 1.010923391E-07, -3.529306517E-02, -3.088791106E-07, 4.383236556E-02
4.8E-02, -6.98231433E-06, 7.707627153E-03, 1.038422362E-06, -4.838515123E-02, -4.607501637E-08, -3.540568987E-02, -2.706016271E-07, 3.67471287E-02
4.9E-02, -7.299862036E-06, 3.554511501E-02, 1.056540595E-06, -3.98219437E-02, -2.181438024E-07, -1.439742357E-02, -2.024133713E-07, 2.307448873E-02
5.E-02, -7.576129622E-06, 4.701477934E-02, 1.048314162E-06, -1.286752937E-02, -3.90812334E-07, 1.319801668E-02, -1.195347494E-07, 6.306248969E-03
5.1E-02, -7.808477434E-06, 4.08255439E-02, 1.035985436E-06, 4.663314803E-03, -5.400738209E-07, 3.3616168E-02, -3.641340158E-08, -5.82091739E-03
5.2E-02, -8.026752382E-06, -1.267940434E-02, 1.021175917E-06, -9.624475605E-03, -6.454753703E-07, 5.410361178E-02, 4.048306032E-08, -6.62901683E-03
5.3E-02, -8.267846246E-06, -3.295965219E-02, 9.836202414E-07, -3.586795968E-02, -6.870425632E-07, 7.356521993E-02, 1.143841304E-07, 6.381924214E-04
5.4E-02, -8.524760461E-06, 1.3187992E-03, 9.088125848E-07, -3.863646377E-02, -6.559653945E-07, 7.172391425E-02, 1.914012465E-07, 5.593996906E-03
5.5E-02, -8.78058514E-06, 8.612803255E-04, 8.063575439E-07, -1.665846489E-02, -5.647369448E-07, 4.857877213E-02, 2.725512687E-07, 2.671914866E-03
5.6E-02, -9.048595783E-06, -2.523356108E-02, 6.977156473E-07, 4.28493591E-03, -4.338681811E-07, 3.070160375E-02, 3.519393014E-07, -6.19584436E-03
5.7E-02, -9.338094781E-06, -1.774363596E-02, 5.989491277E-07, 1.54658809E-02, -2.762273186E-07, 2.284259305E-02, 4.183256062E-07, -1.980754235E-02
