TIME, N1_UZ, N1_AZ, N2_UZ, N2_AZ, N3_UZ, N3_AZ, N4_UZ, N4_AZ
1.E-03, -3.983938219E-11, -7.967679217E-05, 7.040757403E-13, 1.408116626E-06, 1.098201433E-13, 2.196348501E-07, 1.658101408E-14, 3.316120734E-08
2.E-03, -2.062108473E-10, -1.733889594E-04, 7.425135941E-12, 1.062569315E-05, 1.351541715E-12, 2.044133611E-06, 2.611577338E-13, 4.228221843E-07
3.E-03, -1.034861535E-10, 7.115586073E-04, 3.546184252E-11, 3.200545455E-05, 7.510685965E-12, 7.790648381E-06, 1.846627476E-12, 2.258935919E-06
4.E-03, 2.44151312E-09, 4.172949E-03, 1.070099119E-10, 5.501737276E-05, 2.535098864E-11, 1.557168023E-05, 7.723157491E-12, 6.323156864E-06
5.E-03, 1.451767705E-08, 1.488924146E-02, 2.568249383E-10, 1.015158603E-04, 6.0122673E-11, 1.829119689E-05, 2.130042332E-11, 9.078374373E-06
6.E-03, 5.823554963E-08, 4.839374788E-02, 5.979401059E-10, 2.810817959E-04, 1.126744156E-10, 1.72689008E-05, 4.15804146E-11, 4.327203907E-06
7.E-03, 1.778799765E-07, 0.103459247, 1.412773936E-09, 6.663530105E-04, 1.851290597E-10, 2.25367649E-05, 6.312475901E-11, -1.798588461E-06
8.E-03, 3.916622089E-07, 8.481830085E-02, 3.107501283E-09, 1.093435458E-03, 2.847013388E-10, 3.169854322E-05, 8.757101396E-11, 7.602114218E-06
9.E-03, 5.885875971E-07, -0.118529315, 5.779094678E-09, 8.603115756E-04, 4.167298257E-10, 3.321402425E-05, 1.26900088E-10, 2.216368574E-05
1.E-02, 5.701521683E-07, -0.31219518, 7.965253559E-09, -1.831134395E-03, 5.68687299E-10, 6.644494904E-06, 1.825048368E-10, 1.03881571E-05
1.1E-02, 3.3314759E-07, -0.124949744, 4.755280283E-09, -8.96106535E-03, 6.858498702E-10, -7.623344097E-05, 2.385049165E-10, -9.597775709E-06
1.2E-02, 1.344068225E-07, 0.201480414, -1.251897691E-08, -1.916748962E-02, 6.635358018E-10, -2.027196E-04, 2.900027865E-10, 5.928842312E-07
1.3E-02, 5.184608671E-08, 3.088896435E-02, -5.264749605E-08, -2.654111702E-02, 3.470978871E-10, -3.85526932E-04, 3.474173315E-10, 1.124091719E-05
1.4E-02, -2.065550566E-07, -0.382572898, -1.194641123E-07, -2.683517137E-02, -4.86141065E-10, -6.480743066E-04, 4.122118149E-10, 3.518972033E-06
1.5E-02, -8.436758512E-07, -0.374873773, -2.112273138E-07, -2.305800749E-02, -1.974810949E-09, -6.627945112E-04, 4.847170937E-10, 1.190220785E-05
1.6E-02, -1.768148956E-06, -0.199827769, -3.220529498E-07, -1.506695768E-02, -3.723732784E-09, 1.422771328E-04, 5.671567164E-10, 7.967187496E-06
1.7E-02, -2.866451558E-06, -0.147831197, -4.339000343E-07, 1.302365737E-02, -4.407882394E-09, 1.987254786E-03, 6.516718226E-10, -3.81671962E-06
1.8E-02, -4.01843375E-06, 4.04686147E-02, -5.052248963E-07, 6.802051702E-02, -1.714335598E-09, 4.768127145E-03, 7.716574213E-10, 7.475595725E-05
1.9E-02, -5.079050725E-06, 0.142267294, -4.850655865E-07, 0.114948291, 7.487052627E-09, 8.247549088E-03, 1.026224983E-09, 1.944086654E-04
2.E-02, -6.125428361E-06, -0.113785123, -3.477622703E-07, 0.119340319, 2.674011574E-08, 1.185580399E-02, 1.508920424E-09, 2.61847702E-04
2.1E-02, -7.426481169E-06, -0.395568008, -9.745855697E-08, 0.106660313, 5.891155862E-08, 1.398098901E-02, 2.287097598E-09, 3.291151714E-04
2.2E-02, -9.12746455E-06, -0.404297166, 2.579709178E-07, 0.103591132, 1.03672292E-07, 1.119768074E-02, 3.386211654E-09, 3.127612438E-04
2.3E-02, -1.106449025E-05, -6.779207293E-02, 6.962643019E-07, 6.213771357E-02, 1.544194679E-07, 7.753062701E-04, 4.647541447E-09, 1.167467727E-05
2.4E-02, -1.288818952E-05, 0.294448807, 1.143889648E-06, -4.347320871E-02, 1.978269414E-07, -1.545466715E-02, 5.56640479E-09, -6.966018553E-04
2.5E-02, -1.446425486E-05, 0.200826551, 1.514299719E-06, -0.110958854, 2.167069674E-07, -3.360022346E-02, 5.163926122E-09, -1.946074378E-03
2.6E-02, -1.600299464E-05, -0.126177011, 1.800849227E-06, -5.676379991E-02, 1.926922157E-07, -5.21893254E-02, 1.978832912E-09, -3.619151858E-03
2.7E-02, -1.769981716E-05, -0.189993438, 2.068870089E-06, 1.970745323E-02, 1.089767599E-07, -6.721217738E-02, -5.609854341E-09, -5.1880416E-03
2.8E-02, -1.951675523E-05, -5.023782678E-02, 2.347957323E-06, 2.426683309E-03, -4.154262752E-08, -6.639598521E-02, -1.874420174E-08, -5.903294551E-03
2.9E-02, -2.132104111E-05, 7.55427104E-02, 2.61114254E-06, -3.423160185E-02, -2.460617401E-07, -4.160376504E-02, -3.719486519E-08, -4.729368765E-03
3.E-02, -2.295241253E-05, 0.270284027, 2.859456073E-06, 4.487236394E-03, -4.73255311E-07, -3.745181199E-03, -5.833258914E-08, -6.447936999E-04
3.1E-02, -2.428469135E-05, 0.327906694, 3.117386774E-06, 1.474878082E-02, -6.863758317E-07, 3.189136568E-02, -7.639416537E-08, 6.797046674E-03
3.2E-02, -2.547274266E-05, -3.944656638E-02, 3.329135422E-06, -0.107111265, -8.508529737E-07, 6.539536214E-02, -8.26255718E-08, 1.686326962E-02
3.3E-02, -2.682311566E-05, -0.285204825, 3.376471631E-06, -0.221715382, -9.353148206E-07, 9.463536255E-02, -6.695083291E-08, 2.694904339E-02
3.4E-02, -2.834399985E-05, -5.58214679E-02, 3.226362402E-06, -0.173177799, -9.235793485E-07, 9.775979005E-02, -2.110178458E-08, 3.339964355E-02
3.5E-02, -2.977584125E-05, 0.233909393, 2.959710683E-06, -5.990652262E-02, -8.303886133E-07, 6.515111617E-02, 5.788863504E-08, 3.288320478E-02
3.6E-02, -3.091015043E-05, 0.361156768, 2.653534498E-06, -1.914125753E-02, -6.911325501E-07, 2.697930521E-02, 1.645626266E-07, 2.248408012E-02
3.7E-02, -3.174835497E-05, 0.231057188, 2.344886785E-06, 1.419725393E-02, -5.316730971E-07, 1.34270948E-02, 2.829398793E-07, 9.225802248E-04
3.8E-02, -3.254564913E-05, -0.149234816, 2.092028422E-06, 9.738114158E-02, -3.591899462E-07, 1.262035755E-02, 3.875520509E-07, -2.845268448E-02
3.9E-02, -3.358466808E-05, -0.334221163, 1.943498348E-06, 0.111277451, -1.777806585E-07, 5.232023704E-03, 4.49518244E-07, -5.683935386E-02
4.E-02, -3.480577238E-05, -2.995537546E-02, 1.856051632E-06, 1.089011709E-02, 9.194547716E-09, 5.899508367E-03, 4.459493699E-07, -7.423097285E-02
4.1E-02, -3.588185236E-05, 0.320008605, 1.747833593E-06, -5.243451561E-02, 2.114882019E-07, 2.473723663E-02, 3.676245988E-07, -7.528103714E-02
4.2E-02, -3.664839428E-05, 0.299072192, 1.609035477E-06, -8.726570078E-03, 4.404291828E-07, 2.855793646E-02, 2.218408906E-07, -5.96370385E-02
4.3E-02, -3.723408552E-05, 6.262991873E-02, 1.487454512E-06, 4.316158356E-02, 6.80471709E-07, -6.354396349E-03, 3.168385471E-08, -2.910978782E-02
4.4E-02, -3.793438397E-05, -0.291842149, 1.424433241E-06, 7.395762918E-02, 8.933877675E-07, -4.789881541E-02, -1.682201726E-07, 9.615769526E-03
4.5E-02, -3.905586901E-05, -0.550535547, 1.461311828E-06, 0.125841736, 1.048664182E-06, -6.738074823E-02, -3.422124946E-07, 4.220782765E-02
