TIME, N5_UZ, N5_AZ, N6_UZ, N6_AZ, N7_UZ, N7_AZ
1.E-03, 9.447475996E-16, 1.889448431E-09, 1.365720624E-16, 2.731373641E-10, 1.180597247E-17, 2.36113605E-11
2.E-03, 1.743553829E-14, 2.92020543E-08, 3.000622769E-15, 5.181711812E-09, 2.925007067E-16, 5.141551782E-10
3.E-03, 1.470913032E-13, 1.971249855E-07, 3.024377379E-14, 4.357576594E-08, 3.367260139E-15, 5.073884262E-09
4.E-03, 7.505974941E-13, 7.505691749E-07, 1.843917031E-13, 2.102313245E-07, 2.384104206E-14, 2.972375161E-08
5.E-03, 2.58977696E-12, 1.720773618E-06, 7.544979923E-13, 6.216817532E-07, 1.157971916E-13, 1.132399276E-07
6.E-03, 6.435517209E-12, 2.292361496E-06, 2.17331456E-12, 1.075741319E-06, 4.074969798E-13, 2.862461697E-07
7.E-03, 1.215348422E-11, 1.452113705E-06, 4.510982567E-12, 7.619780991E-07, 1.070880146E-12, 4.571217955E-07
8.E-03, 1.875119935E-11, 3.073688206E-07, 6.905904942E-12, -6.474584551E-07, 2.143738258E-12, 3.618334984E-07
9.E-03, 2.627105182E-11, 1.536860514E-06, 8.457905329E-12, -1.038421424E-06, 3.35069722E-12, -9.362817741E-08
1.E-02, 3.670766379E-11, 4.296665068E-06, 1.048543767E-11, 1.989435902E-06, 4.341940592E-12, -3.378117807E-07
1.1E-02, 5.129871422E-11, 4.012280763E-06, 1.587694435E-11, 4.738568123E-06, 5.336980953E-12, 3.45391408E-07
1.2E-02, 6.793513355E-11, 7.847980954E-08, 2.393605238E-11, 5.96750891E-07, 7.154862581E-12, 1.300298466E-06
1.3E-02, 8.36300043E-11, -1.961646182E-06, 2.95819321E-11, -5.423275029E-06, 1.001106735E-11, 7.763772277E-07
1.4E-02, 9.955329468E-11, 2.418394385E-06, 3.18408942E-11, -1.350743832E-06, 1.271757323E-11, -1.075770966E-06
1.5E-02, 1.208245284E-10, 8.277545032E-06, 3.668293815E-11, 6.516993572E-06, 1.418517643E-11, -1.402076113E-06
1.6E-02, 1.475207391E-10, 2.572643338E-06, 4.626875235E-11, 2.970745094E-06, 1.549314044E-11, 1.082769045E-06
1.7E-02, 1.708354108E-10, -9.335797676E-06, 5.582132811E-11, -3.037355256E-06, 1.881802271E-11, 2.951110846E-06
1.8E-02, 1.893918159E-10, -1.811819429E-07, 6.409289165E-11, 4.752258018E-07, 2.372945705E-11, 2.220645878E-07
1.9E-02, 2.165915436E-10, 1.746805459E-05, 7.27215815E-11, 2.392225152E-07, 2.67088161E-11, -4.086245962E-06
2.E-02, 2.542266884E-10, 3.403341631E-06, 7.96710392E-11, -3.597789497E-06, 2.687281357E-11, -1.544616565E-06
2.1E-02, 2.881715183E-10, -1.078451929E-05, 8.701733088E-11, 4.39126539E-06, 2.930421231E-11, 6.079429898E-06
2.2E-02, 3.224488151E-10, 1.144908871E-05, 9.995550211E-11, 6.792820291E-06, 3.680215706E-11, 4.053890396E-06
2.3E-02, 3.686172083E-10, 1.233398954E-05, 1.139141015E-10, -4.751938793E-06, 4.300007064E-11, -6.653961568E-06
2.4E-02, 4.09971968E-10, -2.196125367E-05, 1.246376048E-10, -1.718638985E-06, 4.348077017E-11, -4.780769299E-06
2.5E-02, 4.236982448E-10, -3.329628328E-05, 1.371938441E-10, 5.384388141E-06, 4.503087056E-11, 6.91962454E-06
2.6E-02, 3.95094043E-10, -5.136394737E-05, 1.494719991E-10, -5.940372171E-06, 5.228767835E-11, 4.494087459E-06
2.7E-02, 2.863495186E-10, -1.089164327E-04, 1.562629994E-10, -5.03442106E-06, 5.952562321E-11, -4.531941253E-06
2.8E-02, 5.476509953E-11, -1.367643518E-04, 1.656617144E-10, 1.024996874E-05, 6.349254956E-11, -2.0102562E-06
2.9E-02, -2.911267081E-10, -9.185125067E-05, 1.826564658E-10, 4.942498061E-06, 6.708415906E-11, 1.259761239E-06
3.E-02, -6.641590803E-10, 3.756883858E-05, 1.979406284E-10, -8.3638638E-06, 7.204637703E-11, 1.481395157E-06
3.1E-02, -8.614444105E-10, 3.13922866E-04, 2.065361665E-10, -5.013613161E-06, 7.930387747E-11, 3.109194316E-06
3.2E-02, -5.14524083E-10, 7.744862223E-04, 2.220622808E-10, 1.887448066E-05, 8.611014684E-11, -4.011463949E-06
3.3E-02, 8.853489296E-10, 1.331418946E-03, 2.722577096E-10, 5.046423681E-05, 8.881492976E-11, -4.191869432E-06
3.4E-02, 3.843010853E-09, 1.784161654E-03, 3.753826424E-10, 5.539534438E-05, 9.588789909E-11, 1.292816737E-05
3.5E-02, 8.627234063E-09, 1.868967303E-03, 5.305829934E-10, 4.875521676E-05, 1.12129042E-10, 5.408863008E-06
3.6E-02, 1.495329142E-08, 1.214713026E-03, 7.354817357E-10, 5.064162453E-05, 1.217713957E-10, -1.860670266E-05
3.7E-02, 2.161239375E-08, -5.48607426E-04, 9.62440074E-10, -6.521028539E-06, 1.212800741E-10, -1.661405757E-06
3.8E-02, 2.627139689E-08, -3.451578082E-03, 1.110749829E-09, -1.50775358E-04, 1.293743963E-10, 1.883334821E-05
3.9E-02, 2.566318562E-08, -7.082845327E-03, 1.010878274E-09, -3.455867766E-04, 1.402526957E-10, -1.326473392E-05
4.E-02, 1.623808086E-08, -1.055095101E-02, 4.427443503E-10, -5.909371853E-04, 1.240430022E-10, -4.091200892E-05
4.1E-02, -4.65281632E-09, -1.23806652E-02, -8.349214602E-10, -8.281275491E-04, 7.48625591E-11, -2.502982562E-05
4.2E-02, -3.718142691E-08, -1.089481292E-02, -2.971477864E-09, -8.896570444E-04, 1.827626652E-12, -2.267848945E-05
4.3E-02, -7.760784436E-08, -4.900862114E-03, -5.842888739E-09, -5.800577454E-04, -9.963240883E-11, -3.417202441E-05
4.4E-02, -1.176656521E-07, 5.638029097E-03, -8.876690466E-09, 2.552687601E-04, -2.128553609E-10, 1.064509913E-05
4.5E-02, -1.45379702E-07, 1.904946694E-02, -1.09662368E-08, 1.633235729E-03, -2.695969327E-10, 1.023175721E-04
4.6E-02, -1.475719488E-07, 3.199417013E-02, -1.053974536E-08, 3.398836394E-03, -1.774303962E-10, 1.954986945E-04
4.7E-02, -1.137544186E-07, 4.002547509E-02, -5.839786071E-09, 5.148103073E-03, 1.678840681E-10, 3.107965647E-04
4.8E-02, -4.055983653E-08, 3.872877011E-02, 4.502527859E-09, 6.136621347E-03, 8.82133137E-10, 4.270732051E-04
4.9E-02, 6.483847632E-08, 2.56788438E-02, 2.065634185E-08, 5.486404494E-03, 2.026902756E-09, 4.339700523E-04
5.E-02, 1.840654351E-07, 1.978562413E-03, 4.080157788E-08, 2.496472298E-03, 3.505267238E-09, 2.332226993E-04
5.1E-02, 2.904614267E-07, -2.764046243E-02, 6.066854375E-08, -3.052981339E-03, 4.981315554E-09, -2.378513042E-04
5.2E-02, 3.552255948E-07, -5.562325873E-02, 7.376332814E-08, -1.049136554E-02, 5.849064508E-09, -9.787443963E-04
5.3E-02, 3.556744954E-07, -7.300746596E-02, 7.259015807E-08, -1.804455628E-02, 5.286138954E-09, -1.88260355E-03
5.4E-02, 2.835772477E-07, -7.208509778E-02, 5.085363711E-08, -2.308219512E-02, 2.414812499E-09, -2.734200592E-03
5.5E-02, 1.50297093E-07, -5.028097113E-02, 6.134991125E-09, -2.288213595E-02, -3.398462209E-09, -3.149704416E-03
5.6E-02, -1.452318654E-08, -1.279941689E-02, -5.782886443E-08, -1.560837887E-02, -1.211042121E-08, -2.647678558E-03
5.7E-02, -1.713797015E-07, 2.872698155E-02, -1.30146815E-07, -1.099896424E-03, -2.258818589E-08, -8.839499133E-04
5.8E-02, -2.833957806E-07, 6.095408548E-02, -1.937798941E-07, 1.846959756E-02, -3.240304729E-08, 2.209740325E-03
5.9E-02, -3.279604091E-07, 7.394910043E-02, -2.289863635E-07, 3.838365434E-02, -3.797267117E-08, 6.28072635E-03
6.E-02, -3.03316289E-07, 6.446867401E-02, -2.188958529E-07, 5.221042455E-02, -3.520796446E-08, 1.038794214E-02
6.1E-02, -2.280366531E-07, 3.680253594E-02, -1.558078166E-07, 5.378481365E-02, -2.070440108E-08, 1.308979883E-02
6.2E-02, -1.336588691E-07, 1.393777271E-03, -4.585496099E-08, 3.994502339E-02, 6.761700002E-09, 1.283532267E-02
6.3E-02, -5.301281668E-08, -2.885738495E-02, 9.032287929E-08, 1.250508798E-02, 4.488817776E-08, 8.485486865E-03
6.4E-02, -8.638907264E-09, -4.36871412E-02, 2.218646978E-07, -2.17771014E-02, 8.715733537E-08, -2.000748899E-04
6.5E-02, -5.906741516E-09, -3.959657898E-02, 3.160201023E-07, -5.299583185E-02, 1.232732556E-07, -1.210637149E-02
6.6E-02, -3.3463992E-08, -2.098238473E-02, 3.480403574E-07, -7.127468403E-02, 1.410609094E-07, -2.455017576E-02
6.7E-02, -7.011033009E-08, 2.804210128E-03, 3.092558203E-07, -7.033516339E-02, 1.297014092E-07, -3.374419851E-02
6.8E-02, -9.39955234E-08, 2.271817469E-02, 2.104045599E-07, -4.979851048E-02, 8.355244956E-08, -3.583483137E-02
6.9E-02, -8.995410262E-08, 3.31351952E-02, 7.88767315E-08, -1.555474202E-02, 5.348084611E-09, -2.827610926E-02
7.E-02, -5.349832886E-08, 3.169366539E-02, -4.956027312E-08, 2.173642837E-02, -9.259933914E-08, -1.121011624E-02
7.1E-02, 8.62065062E-09, 1.963285734E-02, -1.422510886E-07, 4.97561414E-02, -1.901100124E-07, 1.208356886E-02
7.2E-02, 8.215255899E-08, 3.192999757E-03, -1.806165894E-07, 5.889476753E-02, -2.635878874E-07, 3.598206011E-02
7.3E-02, 1.52526801E-07, -9.508424352E-03, -1.661837606E-07, 4.670214564E-02, -2.920934823E-07, 5.396261468E-02
7.4E-02, 2.102205207E-07, -1.585268759E-02, -1.186258413E-07, 1.95481568E-02, -2.634577886E-07, 6.032013799E-02
7.5E-02, 2.502179087E-07, -1.953997548E-02, -6.64598934E-08, -1.033215111E-02, -1.787052791E-07, 5.191368696E-02
7.6E-02, 2.69233912E-07, -2.242281419E-02, -3.480861387E-08, -3.06973706E-02, -5.318544701E-08, 2.962111237E-02
7.7E-02, 2.663702836E-07, -2.133652779E-02, -3.572998907E-08, -3.444816887E-02, 8.659955308E-08, -1.090718922E-03
7.8E-02, 2.450161357E-07, -1.564454795E-02, -6.47447024E-08, -2.173868938E-02, 2.101421626E-07, -3.139412873E-02
7.9E-02, 2.105596827E-07, -1.05600111E-02, -1.043719473E-07, 5.135684866E-04, 2.918762004E-07, -5.222318402E-02
8.E-02, 1.665704364E-07, -8.505550982E-03, -1.331425103E-07, 2.119989061E-02, 3.185408151E-07, -5.791587093E-02
8.1E-02, 1.159554842E-07, -4.745927062E-03, -1.361860774E-07, 3.025429561E-02, 2.920739948E-07, -4.834717214E-02
8.2E-02, 6.44060333E-08, 2.876899232E-03, -1.118271817E-07, 2.455080476E-02, 2.271236208E-07, -2.862001691E-02
8.3E-02, 1.818752312E-08, 7.78507924E-03, -7.043123294E-08, 9.523360895E-03, 1.443976466E-07, -6.931152105E-03
8.4E-02, -2.182383631E-08, 4.62932666E-03, -2.708081693E-08, -5.614482003E-03, 6.25931015E-08, 8.774127543E-03
8.5E-02, -6.066663434E-08, -2.292212982E-03, 6.416855859E-09, -1.409111484E-02, -7.628013932E-09, 1.439286657E-02
8.6E-02, -1.041255625E-07, -6.940094598E-03, 2.622618449E-08, -1.3285695E-02, -6.497751294E-08, 1.13504486E-02
8.7E-02, -1.559208134E-07, -9.73255053E-03, 3.741141887E-08, -3.962585219E-03, -1.140217912E-07, 5.25998765E-03
8.8E-02, -2.18062869E-07, -1.096109783E-02, 5.094640902E-08, 8.662104938E-03, -1.591305386E-07, 2.610994023E-03
8.9E-02, -2.880015045E-07, -4.632210699E-03, 7.659281106E-08, 1.556085257E-02, -1.992880581E-07, 7.291358875E-03
9.E-02, -3.539340466E-07, 1.26442721E-02, 1.154498145E-07, 1.086050627E-02, -2.26536703E-07, 1.852632881E-02
9.1E-02, -3.968624187E-07, 3.33641056E-02, 1.590360044E-07, -1.402099165E-03, -2.289935729E-07, 3.105724939E-02
9.2E-02, -3.996900221E-07, 4.683757416E-02, 1.962191357E-07, -1.140410756E-02, -1.971995681E-07, 3.744462455E-02
9.3E-02, -3.54544236E-07, 4.910934256E-02, 2.205415315E-07, -1.431745095E-02, -1.307520932E-07, 3.186248978E-02
9.4E-02, -2.646459508E-07, 4.039579267E-02, 2.313638518E-07, -1.268272676E-02, -4.146925348E-08, 1.380837793E-02
9.5E-02, -1.441980275E-07, 2.070362095E-02, 2.310166264E-07, -9.656373168E-03, 4.922648808E-08, -1.098254282E-02
9.6E-02, -1.634504312E-08, -5.893462569E-03, 2.223780643E-07, -6.926284484E-03, 1.176981523E-07, -3.346569988E-02
9.7E-02, 9.38723424E-08, -2.937784775E-02, 2.057287864E-07, -9.095041236E-03, 1.467320236E-07, -4.54100605E-02
9.8E-02, 1.686438293E-07, -4.151412002E-02, 1.739041705E-07, -2.125549142E-02, 1.31955202E-07, -4.221152896E-02
9.9E-02, 2.022501851E-07, -4.081629278E-02, 1.120527045E-07, -3.879821583E-02, 8.365156385E-08, -2.484225536E-02
0.1, 2.011152721E-07, -2.866638061E-02, 7.373424569E-09, -4.685763984E-02, 2.270502819E-08, -4.435654595E-04
0.101, 1.819208575E-07, -7.452713789E-03, -1.378986424E-07, -3.432822068E-02, -2.806474715E-08, 2.079718959E-02
0.102, 1.669263203E-07, 1.585250617E-02, -3.021213656E-07, -3.573262113E-03, -5.276715405E-08, 3.13377107E-02
0.103, 1.753974813E-07, 3.107905343E-02, -4.504442956E-07, 3.537281273E-02, -4.69825519E-08, 2.963645024E-02
0.104, 2.155947157E-07, 3.237327818E-02, -5.448054961E-07, 7.255072502E-02, -1.687131882E-08, 1.901689236E-02
0.105, 2.823141376E-07, 2.067123746E-02, -5.547567939E-07, 9.626933641E-02, 2.515372662E-08, 4.810741992E-03
0.106, 3.592418412E-07, -2.545835799E-04, -4.70138722E-07, 9.286982334E-02, 6.587549288E-08, -7.417358733E-03
0.107, 4.234338958E-07, -2.521670329E-02, -3.100081945E-07, 5.815545079E-02, 9.62250233E-08, -1.332721212E-02
0.108, 4.516747826E-07, -4.668572965E-02, -1.178972951E-07, 5.805373833E-03, 1.13808283E-07, -1.220540616E-02
0.109, 4.275684083E-07, -5.800894841E-02, 5.590116718E-08, -4.243042898E-02, 1.213440476E-07, -7.889587772E-03
0.11, 3.458878788E-07, -5.713951098E-02, 1.724270334E-07, -7.211504492E-02, 1.221628661E-07, -5.544251948E-03
0.111, 2.13414595E-07, -4.444614409E-02, 2.13803698E-07, -7.818366673E-02, 1.165079287E-07, -7.403207237E-03
0.112, 4.842360045E-08, -2.058941024E-02, 1.864275596E-07, -5.932225415E-02, 1.010538404E-07, -1.219507367E-02
0.113, -1.221510372E-07, 9.422101857E-03, 1.194381244E-07, -1.990453959E-02, 7.101694892E-08, -1.697055356E-02
0.114, -2.705923806E-07, 3.484462188E-02, 5.501149036E-08, 2.50302015E-02, 2.350858666E-08, -1.797246089E-02
0.115, -3.780772521E-07, 4.706851607E-02, 3.094047245E-08, 5.568132584E-02, -3.880871344E-08, -1.164552475E-02
0.116, -4.38996123E-07, 4.606362244E-02, 6.49746986E-08, 6.052951179E-02, -1.056720069E-07, 2.553451009E-03
0.117, -4.583790294E-07, 3.700837122E-02, 1.498984006E-07, 4.124969452E-02, -1.612019097E-07, 2.011333236E-02
0.118, -4.467765323E-07, 2.496244625E-02, 2.588079851E-07, 6.722198403E-03, -1.900801674E-07, 3.319006682E-02
0.119, -4.155566806E-07, 1.427221908E-02, 3.546711954E-07, -3.28149482E-02, -1.848081187E-07, 3.511071524E-02
