TIME, N5_UZ, N5_AZ, N6_UZ, N6_AZ, N7_UZ, N7_AZ
1.E-03, 2.172919479E-15, 4.345731391E-09, 3.141157436E-16, 6.282159374E-10, 2.715373668E-17, 5.430612915E-11
2.E-03, 4.010173806E-14, 6.71647249E-08, 6.901432368E-15, 1.191793717E-08, 6.727516255E-16, 1.18255691E-09
3.E-03, 3.383099973E-13, 4.533874667E-07, 6.956067971E-14, 1.002242617E-07, 7.744698319E-15, 1.16699338E-08
4.E-03, 1.726374236E-12, 1.726309102E-06, 4.241009172E-13, 4.835320464E-07, 5.483439673E-14, 6.836462869E-08
5.E-03, 5.956487008E-12, 3.957779322E-06, 1.735345382E-12, 1.429868032E-06, 2.663335407E-13, 2.604518334E-07
6.E-03, 1.479961669E-11, 5.268285767E-06, 4.998323889E-12, 2.473605851E-06, 9.372171549E-13, 6.583143945E-07
7.E-03, 2.791538124E-11, 3.277035039E-06, 1.036876725E-11, 1.741362124E-06, 2.462390445E-12, 1.050267762E-06
8.E-03, 4.281633316E-11, 2.933142125E-07, 1.581918212E-11, -1.581392488E-06, 4.92340131E-12, 8.214200058E-07
9.E-03, 5.88702089E-11, 2.012442013E-06, 1.906800686E-11, -2.821865396E-06, 7.656462778E-12, -2.773096344E-07
1.E-02, 7.921451077E-11, 6.568429627E-06, 2.257728274E-11, 3.342660469E-06, 9.747514287E-12, -1.006728408E-06
1.1E-02, 1.054602583E-10, 5.234588483E-06, 3.22162479E-11, 8.916837784E-06, 1.145334648E-11, 2.362587266E-07
1.2E-02, 1.335360828E-10, -1.574423322E-06, 4.64886047E-11, 3.501782097E-07, 1.435837661E-11, 2.162150661E-06
1.3E-02, 1.589360502E-10, -3.777415932E-06, 5.568586057E-11, -1.050055163E-05, 1.898272434E-11, 1.276540887E-06
1.4E-02, 1.845859446E-10, 4.277138672E-06, 5.930502092E-11, -6.559835183E-07, 2.325553973E-11, -1.979602115E-06
1.5E-02, 2.194472661E-10, 1.414579928E-05, 6.835121384E-11, 1.151032849E-05, 2.541021665E-11, -2.256751952E-06
1.6E-02, 2.632208269E-10, 3.679100669E-06, 8.297849562E-11, -3.478304082E-07, 2.75273903E-11, 2.18170431E-06
1.7E-02, 3.007527574E-10, -1.616254214E-05, 9.509247947E-11, -4.679265783E-06, 3.324670355E-11, 5.022654721E-06
1.8E-02, 3.343415357E-10, 8.275318723E-06, 1.111999225E-10, 1.2666138E-05, 4.156233089E-11, 1.700856268E-07
1.9E-02, 3.935688891E-10, 4.300247765E-05, 1.348238419E-10, 2.367544243E-06, 4.67373568E-11, -6.45135466E-06
2.E-02, 4.762408411E-10, 3.887914046E-06, 1.518589896E-10, -1.554561415E-05, 4.846186017E-11, -4.499380033E-07
2.1E-02, 5.53196087E-10, -1.532298978E-05, 1.681784321E-10, 1.411354231E-05, 5.649558042E-11, 1.30684284E-05
2.2E-02, 6.501302221E-10, 5.528017569E-05, 2.025092167E-10, 2.191033126E-05, 7.421177803E-11, 6.29697304E-06
2.3E-02, 7.925499524E-10, 3.569382782E-05, 2.398920285E-10, -1.580631622E-05, 8.845289563E-11, -1.32472548E-05
2.4E-02, 9.207768386E-10, -6.408028864E-05, 2.722050552E-10, 5.665319733E-06, 9.467423921E-11, -2.792916462E-06
2.5E-02, 9.936469401E-10, -4.663542488E-05, 3.231668221E-10, 3.16334475E-05, 1.086237702E-10, 1.824964007E-05
2.6E-02, 1.003497557E-09, -7.940019895E-05, 3.77588494E-10, -2.471286144E-05, 1.323409775E-10, 1.286311436E-06
2.7E-02, 8.367191412E-10, -2.738571442E-04, 4.091093187E-10, -2.109107815E-05, 1.508091338E-10, -1.178509673E-05
2.8E-02, 3.717378874E-10, -3.225528486E-04, 4.536021205E-10, 4.703563645E-05, 1.683705806E-10, 9.971485286E-06
2.9E-02, -3.52178021E-10, -1.953165833E-04, 5.275953079E-10, 1.19670971E-05, 1.941122984E-10, 6.3898725E-06
3.E-02, -1.180619218E-09, -1.37352192E-05, 5.913870735E-10, -3.237163485E-05, 2.190057274E-10, -8.086979943E-06
3.1E-02, -1.741260955E-09, 5.493258981E-04, 6.477175398E-10, 1.744836606E-05, 2.455203966E-10, 1.132914071E-05
3.2E-02, -1.201639426E-09, 1.651195376E-03, 7.378952228E-10, 5.024714562E-05, 2.776380449E-10, -1.221051539E-07
3.3E-02, 1.628495289E-09, 2.929831772E-03, 8.90844773E-10, 7.529572383E-05, 3.006363506E-10, -1.811747399E-05
3.4E-02, 7.972966931E-09, 4.098844035E-03, 1.147023126E-09, 1.311619675E-04, 3.299848821E-10, 3.081714518E-05
3.5E-02, 1.875873634E-08, 4.783761559E-03, 1.545265721E-09, 1.529672738E-04, 3.85386994E-10, 2.129222749E-05
3.6E-02, 3.393555748E-08, 3.998368444E-03, 2.089496678E-09, 1.390095935E-04, 4.251520801E-10, -5.256685472E-05
3.7E-02, 5.150920134E-08, 7.95310835E-04, 2.712529447E-09, 1.859652662E-05, 4.389891892E-10, 7.083181011E-07
3.8E-02, 6.700784706E-08, -4.945277489E-03, 3.202353822E-09, -2.850112277E-04, 4.808531177E-10, 5.534781824E-05
3.9E-02, 7.362701303E-08, -1.281365838E-02, 3.195832063E-09, -7.076801397E-04, 5.212107299E-10, -5.835873192E-05
4.E-02, 6.302144172E-08, -2.163581572E-02, 2.197272327E-09, -1.276393081E-03, 4.838902104E-10, -9.700107415E-05
4.1E-02, 2.730204466E-08, -2.859188242E-02, -4.005166634E-10, -1.922066201E-03, 3.923807633E-10, -1.13763845E-05
4.2E-02, -3.775840538E-08, -3.009031291E-02, -5.083577559E-09, -2.248484755E-03, 2.5728498E-10, -7.579296287E-05
4.3E-02, -1.295149185E-07, -2.33019308E-02, -1.181824273E-08, -1.854734621E-03, 1.010793744E-11, -1.483726128E-04
