TIME, N1_UZ, N1_AZ, N2_UZ, N2_AZ, N3_UZ, N3_AZ, N4_UZ, N4_AZ
1.E-03, -5.975907328E-11, -1.195151883E-04, 1.056113611E-12, 2.112174939E-06, 1.647302149E-13, 3.294522751E-07, 2.487152113E-14, 4.974181102E-08
2.E-03, -3.093162709E-10, -2.600834391E-04, 1.113770391E-11, 1.593853973E-05, 2.027312572E-12, 3.066200417E-06, 3.917366007E-13, 6.342332764E-07
3.E-03, -1.552292302E-10, 1.067337911E-03, 5.319276378E-11, 4.800818182E-05, 1.126602895E-11, 1.168597257E-05, 2.769941214E-12, 3.388403878E-06
4.E-03, 3.66226968E-09, 6.2594235E-03, 1.605148678E-10, 8.252605914E-05, 3.802648296E-11, 2.335752034E-05, 1.158473624E-11, 9.484735296E-06
5.E-03, 2.177651557E-08, 2.233386219E-02, 3.852374075E-10, 1.522737905E-04, 9.018400949E-11, 2.743679534E-05, 3.195063498E-11, 1.361756156E-05
6.E-03, 8.743177063E-08, 7.274751032E-02, 8.951644825E-10, 4.181314275E-04, 1.688483154E-10, 2.557674309E-05, 6.234684563E-11, 6.443254499E-06
7.E-03, 2.674763257E-07, 0.156030909, 2.10282947E-09, 9.773409136E-04, 2.757917044E-10, 3.098126323E-05, 9.432788461E-11, -3.273723328E-06
8.E-03, 5.902353182E-07, 0.129400864, 4.59683945E-09, 1.595351029E-03, 4.172935945E-10, 3.813585236E-05, 1.289593675E-10, 8.574200385E-06
9.E-03, 8.915497479E-07, -0.172286021, 8.530862894E-09, 1.284696966E-03, 5.957732667E-10, 3.581983526E-05, 1.811420786E-10, 2.65285074E-05
1.E-02, 8.816883375E-07, -0.45007014, 1.178060691E-08, -2.653186685E-03, 7.940126607E-10, 3.700224964E-06, 2.515034141E-10, 9.82935286E-06
1.1E-02, 5.767870799E-07, -0.140019712, 7.054649713E-09, -1.329811749E-02, 9.387124285E-10, -1.107780434E-04, 3.226766317E-10, -8.206154817E-06
1.2E-02, 3.802507473E-07, 0.356754897, -1.861806788E-08, -2.859538443E-02, 8.743984519E-10, -3.072488213E-04, 3.963546608E-10, 1.321535586E-05
1.3E-02, 3.515156901E-07, -2.113592538E-02, -7.856826263E-08, -3.995968573E-02, 3.592351212E-10, -5.944482528E-04, 4.799001821E-10, 6.520738254E-06
1.4E-02, -1.251089513E-07, -0.874647566, -1.796317746E-07, -4.226705929E-02, -9.534927848E-10, -1.000679553E-03, 5.54916048E-10, -2.358055728E-05
1.5E-02, -1.468693059E-06, -0.859288637, -3.224042885E-07, -4.115092083E-02, -3.28730099E-09, -1.041491408E-03, 6.288030558E-10, 2.132148256E-05
1.6E-02, -3.32836331E-06, -0.172883331, -5.035084389E-07, -3.551248742E-02, -6.075152304E-09, 1.333852573E-04, 7.355217154E-10, 4.434369418E-05
1.7E-02, -5.214329315E-06, 0.120301245, -7.010738529E-07, 2.58928905E-03, -7.401740913E-09, 2.789123038E-03, 8.644454439E-10, 6.627322632E-08
1.8E-02, -7.096463531E-06, -0.112633879, -8.5277324E-07, 8.914222333E-02, -3.906974139E-09, 6.853569634E-03, 1.047769393E-09, 1.087305489E-04
1.9E-02, -9.23499525E-06, -0.40016349, -8.744504784E-07, 0.170902724, 9.167174336E-09, 1.230517717E-02, 1.434701141E-09, 2.984865903E-04
2.E-02, -1.175018256E-05, -0.353153654, -7.163963374E-07, 0.188560985, 3.760291589E-08, 1.84180089E-02, 2.156950092E-09, 3.721491792E-04
2.1E-02, -1.455632374E-05, -0.228750169, -3.714050546E-07, 0.185312885, 8.667572869E-08, 2.285617515E-02, 3.326154814E-09, 5.21759144E-04
