TIME, N5_UZ, N5_AZ, N6_UZ, N6_AZ, N7_UZ, N7_AZ
1.E-03, 2.078444719E-15, 4.156786548E-09, 3.004585374E-16, 6.00902201E-10, 2.597313943E-17, 5.19449931E-11
2.E-03, 3.835818423E-14, 6.424451947E-08, 6.601370091E-15, 1.139976599E-08, 6.435015548E-16, 1.131141392E-09
3.E-03, 3.23600867E-13, 4.336749682E-07, 6.653630233E-14, 9.586668506E-08, 7.407972305E-15, 1.116254538E-08
4.E-03, 1.651314487E-12, 1.651252185E-06, 4.056617469E-13, 4.625089139E-07, 5.245029253E-14, 6.539225353E-08
5.E-03, 5.697509312E-12, 3.78570196E-06, 1.659895583E-12, 1.367699857E-06, 2.547538215E-13, 2.491278407E-07
6.E-03, 1.41561551E-11, 5.039229864E-06, 4.781005459E-12, 2.36605777E-06, 8.964685829E-13, 6.296920295E-07
7.E-03, 2.670166901E-11, 3.134555255E-06, 9.917951279E-12, 1.665650727E-06, 2.35532999E-12, 1.004603946E-06
8.E-03, 4.095475346E-11, 2.805614207E-07, 1.513139159E-11, -1.512636293E-06, 4.709340383E-12, 7.857060925E-07
9.E-03, 5.63106346E-11, 1.924944534E-06, 1.823896308E-11, -2.699175597E-06, 7.323573092E-12, -2.652526938E-07
1.E-02, 7.577040161E-11, 6.28284573E-06, 2.159566175E-11, 3.197327405E-06, 9.323709318E-12, -9.629576077E-07
1.1E-02, 1.008750297E-10, 5.006997679E-06, 3.081554147E-11, 8.529149184E-06, 1.09553749E-11, 2.259866081E-07
1.2E-02, 1.277301661E-10, -1.505970134E-06, 4.446736102E-11, 3.349530701E-07, 1.373409936E-11, 2.06814411E-06
1.3E-02, 1.520257871E-10, -3.613180457E-06, 5.32647362E-11, -1.004400591E-05, 1.81573885E-11, 1.221039109E-06
1.4E-02, 1.765604687E-10, 4.091176122E-06, 5.672654175E-11, -6.274624957E-07, 2.22444293E-11, -1.893532458E-06
1.5E-02, 2.099060806E-10, 1.353076452E-05, 6.537942194E-11, 1.100987943E-05, 2.430542462E-11, -2.158632302E-06
1.6E-02, 2.517764431E-10, 3.519139771E-06, 7.937073494E-11, -3.327073469E-07, 2.633054725E-11, 2.086847601E-06
1.7E-02, 2.876765506E-10, -1.545982291E-05, 9.095802384E-11, -4.475819444E-06, 3.18011947E-11, 4.804278429E-06
1.8E-02, 3.198049472E-10, 7.915522257E-06, 1.063651432E-10, 1.211543635E-05, 3.975527303E-11, 1.626905996E-07
1.9E-02, 3.764571983E-10, 4.113280471E-05, 1.289619357E-10, 2.264607537E-06, 4.470529781E-11, -6.170860979E-06
2.E-02, 4.555347176E-10, 3.718874305E-06, 1.452564249E-10, -1.486971788E-05, 4.635482277E-11, -4.303754814E-07
2.1E-02, 5.291440832E-10, -1.465677283E-05, 1.608663264E-10, 1.349991004E-05, 5.403925084E-11, 1.250023586E-05
2.2E-02, 6.218636907E-10, 5.287668979E-05, 1.937044681E-10, 2.095770816E-05, 7.098517899E-11, 6.023191603E-06
2.3E-02, 7.580912588E-10, 3.414192226E-05, 2.294619403E-10, -1.511908508E-05, 8.460711756E-11, -1.26712872E-05
2.4E-02, 8.80743063E-10, -6.129418913E-05, 2.603700528E-10, 5.419001483E-06, 9.055796794E-11, -2.671485311E-06
2.5E-02, 9.504448992E-10, -4.460779771E-05, 3.091160907E-10, 3.025808022E-05, 1.039009976E-10, 1.745617745E-05
2.6E-02, 9.598672288E-10, -7.594801638E-05, 3.61171603E-10, -2.36383892E-05, 1.26587022E-10, 1.230384852E-06
2.7E-02, 8.003400481E-10, -2.619503118E-04, 3.91321957E-10, -2.017407475E-05, 1.44252215E-10, -1.127270122E-05
2.8E-02, 3.555753706E-10, -3.085288117E-04, 4.338802892E-10, 4.499060878E-05, 1.610501206E-10, 9.537942448E-06
2.9E-02, -3.368659332E-10, -1.86824558E-04, 5.046563815E-10, 1.144678853E-05, 1.856726332E-10, 6.112051956E-06
3.E-02, -1.129287948E-09, -1.313803575E-05, 5.656745921E-10, -3.096417246E-05, 2.094837392E-10, -7.73537212E-06
3.1E-02, -1.665553957E-09, 5.254421634E-04, 6.195559076E-10, 1.668974145E-05, 2.348455967E-10, 1.083656938E-05
3.2E-02, -1.149394233E-09, 1.579404273E-03, 7.058128218E-10, 4.806248711E-05, 2.655668255E-10, -1.167962342E-07
3.3E-02, 1.557691146E-09, 2.802447782E-03, 8.521123916E-10, 7.202199671E-05, 2.875652049E-10, -1.732975773E-05
3.4E-02, 7.626316195E-09, 3.920633424E-03, 1.097152556E-09, 1.254592733E-04, 3.156377134E-10, 2.94772693E-05
3.5E-02, 1.79431391E-08, 4.575771926E-03, 1.478080254E-09, 1.463165228E-04, 3.686310378E-10, 2.036647847E-05
3.6E-02, 3.246009846E-08, 3.824526337E-03, 1.998648996E-09, 1.329656982E-04, 4.066672071E-10, -5.02813393E-05
3.7E-02, 4.926967085E-08, 7.60732103E-04, 2.594593384E-09, 1.778798198E-05, 4.199027028E-10, 6.775216619E-07
3.8E-02, 6.40944624E-08, -4.730265424E-03, 3.063121047E-09, -2.726194352E-04, 4.599464604E-10, 5.294139136E-05
3.9E-02, 7.042583855E-08, -1.22565428E-02, 3.056882842E-09, -6.76911438E-04, 4.985493938E-10, -5.582139575E-05
4.E-02, 6.028137903E-08, -2.069512808E-02, 2.101738748E-09, -1.22089773E-03, 4.628515056E-10, -9.278363614E-05
4.1E-02, 2.611499924E-08, -2.73487571E-02, -3.831028954E-10, -1.838498106E-03, 3.753207301E-10, -1.088175908E-05
4.2E-02, -3.611673558E-08, -2.878203844E-02, -4.862552448E-09, -2.150724548E-03, 2.460986765E-10, -7.249761666E-05
4.3E-02, -1.238838351E-07, -2.228880337E-02, -1.130440609E-08, -1.774093986E-03, 9.668461898E-12, -1.419216296E-04
4.4E-02, -2.260330825E-07, -6.475612949E-03, -1.883001257E-08, -3.93426384E-04, -2.842944677E-10, 2.685316986E-05
4.5E-02, -3.226183539E-07, 1.760347852E-02, -2.543604317E-08, 2.232561722E-03, -4.586011718E-10, 2.124618343E-04
4.6E-02, -3.875468051E-07, 4.5710147E-02, -2.793826726E-08, 5.975039751E-03, -3.61476618E-10, 3.303998541E-04
4.7E-02, -3.939965606E-07, 7.124732262E-02, -2.237555233E-08, 1.015483879E-02, 2.223221346E-10, 6.429445373E-04
4.8E-02, -3.216166451E-07, 8.641219937E-02, -4.991820487E-09, 1.348721552E-02, 1.628640026E-09, 1.002096513E-03
4.9E-02, -1.637440817E-07, 8.457334078E-02, 2.627983671E-08, 1.428867774E-02, 4.057506263E-09, 1.043005338E-03
5.E-02, 6.804046269E-08, 6.325086397E-02, 7.015402557E-08, 1.091644719E-02, 7.388857381E-09, 7.619673342E-04
5.1E-02, 3.437543449E-07, 2.460800241E-02, 1.206256922E-07, 2.27857822E-03, 1.111817076E-08, 3.396539818E-05
5.2E-02, 6.191913973E-07, -2.516157361E-02, 1.665649372E-07, -1.134336657E-02, 1.414974528E-08, -1.429432961E-03
5.3E-02, 8.442601231E-07, -7.557515021E-02, 1.929938022E-07, -2.767738007E-02, 1.475349138E-08, -3.426220624E-03
