TIME, N5_UZ, N5_AZ, N6_UZ, N6_AZ, N7_UZ, N7_AZ
1.E-03, 1.889495199E-15, 3.778896861E-09, 2.731441249E-16, 5.462747281E-10, 2.361194494E-17, 4.7222721E-11
2.E-03, 3.487107658E-14, 5.840410861E-08, 6.001245537E-15, 1.036342362E-08, 5.850014134E-16, 1.028310356E-09
3.E-03, 2.941826064E-13, 3.942499711E-07, 6.048754758E-14, 8.715153187E-08, 6.734520277E-15, 1.014776852E-08
4.E-03, 1.501194988E-12, 1.50113835E-06, 3.687834063E-13, 4.20462649E-07, 4.768208412E-14, 5.944750321E-08
5.E-03, 5.17955392E-12, 3.441547237E-06, 1.508995985E-12, 1.243363506E-06, 2.315943832E-13, 2.264798551E-07
6.E-03, 1.286923191E-11, 4.581118058E-06, 4.346368599E-12, 2.150961609E-06, 8.14971439E-13, 5.724472996E-07
7.E-03, 2.427424455E-11, 2.849595686E-06, 9.016319344E-12, 1.514227934E-06, 2.141209082E-12, 9.132763145E-07
8.E-03, 3.723159405E-11, 2.55055837E-07, 1.375581054E-11, -1.375123903E-06, 4.28121853E-12, 7.142782659E-07
9.E-03, 5.1191486E-11, 1.749949577E-06, 1.658087553E-11, -2.453795997E-06, 6.65779372E-12, -2.411388125E-07
1.E-02, 6.888218328E-11, 5.711677936E-06, 1.963241977E-11, 2.906661277E-06, 8.47609938E-12, -8.75416007E-07
1.1E-02, 9.170457244E-11, 4.551816072E-06, 2.801412861E-11, 7.753771986E-06, 9.959431725E-12, 2.05442371E-07
1.2E-02, 1.161183329E-10, -1.369063758E-06, 4.042487366E-11, 3.04502791E-07, 1.248554487E-11, 1.880131009E-06
1.3E-02, 1.38205261E-10, -3.284709506E-06, 4.842248746E-11, -9.130914464E-06, 1.650671682E-11, 1.110035554E-06
1.4E-02, 1.60509517E-10, 3.71925102E-06, 5.156958341E-11, -5.704204507E-07, 2.022220846E-11, -1.721393143E-06
1.5E-02, 1.908237096E-10, 1.230069502E-05, 5.943583813E-11, 1.00089813E-05, 2.209584056E-11, -1.962393002E-06
1.6E-02, 2.288876756E-10, 3.199217973E-06, 7.215521358E-11, -3.024612245E-07, 2.393686113E-11, 1.897134182E-06
1.7E-02, 2.615241369E-10, -1.405438447E-05, 8.268911258E-11, -4.068926767E-06, 2.8910177E-11, 4.367525845E-06
1.8E-02, 2.907317701E-10, 7.195929324E-06, 9.669558477E-11, 1.101403304E-05, 3.61411573E-11, 1.479005451E-07
1.9E-02, 3.422338166E-10, 3.739345883E-05, 1.172381234E-10, 2.058734125E-06, 4.064117982E-11, -5.609873617E-06
2.E-02, 4.141224705E-10, 3.380794823E-06, 1.320512953E-10, -1.351792535E-05, 4.214074797E-11, -3.912504377E-07
2.1E-02, 4.810400757E-10, -1.332433894E-05, 1.462421149E-10, 1.227264549E-05, 4.912659167E-11, 1.136385078E-05
2.2E-02, 5.653306279E-10, 4.806971799E-05, 1.76094971E-10, 1.905246196E-05, 6.45319809E-11, 5.47562873E-06
2.3E-02, 6.891738717E-10, 3.103811114E-05, 2.086017639E-10, -1.37446228E-05, 7.691556142E-11, -1.1519352E-05
2.4E-02, 8.006755118E-10, -5.572199012E-05, 2.36700048E-10, 4.926364985E-06, 8.23254254E-11, -2.42862301E-06
2.5E-02, 8.640408175E-10, -4.055254337E-05, 2.810146279E-10, 2.750734565E-05, 9.445545234E-11, 1.586925223E-05
2.6E-02, 8.726065717E-10, -6.904365126E-05, 3.283378209E-10, -2.148944473E-05, 1.150791109E-10, 1.118531683E-06
2.7E-02, 7.275818619E-10, -2.381366471E-04, 3.557472336E-10, -1.834006796E-05, 1.311383772E-10, -1.02479102E-05
2.8E-02, 3.232503369E-10, -2.804807379E-04, 3.944366265E-10, 4.090055344E-05, 1.464092005E-10, 8.670856771E-06
2.9E-02, -3.062417574E-10, -1.698405072E-04, 4.587785286E-10, 1.040617139E-05, 1.687933029E-10, 5.556410869E-06
3.E-02, -1.026625407E-09, -1.194366887E-05, 5.142496291E-10, -2.814924769E-05, 1.904397629E-10, -7.032156472E-06
3.1E-02, -1.514139961E-09, 4.77674694E-04, 5.632326433E-10, 1.517249222E-05, 2.13495997E-10, 9.851426706E-06
3.2E-02, -1.044903848E-09, 1.435822066E-03, 6.416480198E-10, 4.36931701E-05, 2.414243869E-10, -1.061783947E-07
3.3E-02, 1.41608286E-09, 2.547679802E-03, 7.746476287E-10, 6.547454246E-05, 2.614229136E-10, -1.575432521E-05
3.4E-02, 6.933014723E-09, 3.564212204E-03, 9.974114142E-10, 1.140538848E-04, 2.869433758E-10, 2.679751755E-05
3.5E-02, 1.631194464E-08, 4.15979266E-03, 1.343709322E-09, 1.330150207E-04, 3.351191252E-10, 1.851498042E-05
3.6E-02, 2.950918042E-08, 3.476842125E-03, 1.816953633E-09, 1.208779074E-04, 3.69697461E-10, -4.571030845E-05
3.7E-02, 4.479060986E-08, 6.915746391E-04, 2.358721258E-09, 1.617089271E-05, 3.817297298E-10, 6.159287835E-07
3.8E-02, 5.826769309E-08, -4.300241295E-03, 2.784655497E-09, -2.478358502E-04, 4.181331458E-10, 4.81285376E-05
3.9E-02, 6.402348959E-08, -1.114231164E-02, 2.778984402E-09, -6.153740346E-04, 4.532267216E-10, -5.074672341E-05
4.E-02, 5.480125367E-08, -1.88137528E-02, 1.910671589E-09, -1.109907027E-03, 4.20774096E-10, -8.434876013E-05
4.1E-02, 2.37409084E-08, -2.486250645E-02, -3.482753595E-10, -1.671361914E-03, 3.412006638E-10, -9.892508258E-06
4.2E-02, -3.283339599E-08, -2.616548949E-02, -4.420502225E-09, -1.955204135E-03, 2.237260696E-10, -6.590692423E-05
4.3E-02, -1.126216683E-07, -2.026254852E-02, -1.027673281E-08, -1.612812714E-03, 8.789510816E-12, -1.290196633E-04
4.4E-02, -2.054846205E-07, -5.886920863E-03, -1.711819324E-08, -3.576603491E-04, -2.584495161E-10, 2.44119726E-05
4.5E-02, -2.932894127E-07, 1.600316229E-02, -2.312367561E-08, 2.029601565E-03, -4.169101562E-10, 1.931471221E-04
4.6E-02, -3.523152774E-07, 4.155467909E-02, -2.539842478E-08, 5.431854319E-03, -3.286151072E-10, 3.003635037E-04
4.7E-02, -3.581786914E-07, 6.477029329E-02, -2.034141121E-08, 9.231671624E-03, 2.021110314E-10, 5.844950339E-04
4.8E-02, -2.923787683E-07, 7.855654489E-02, -4.538018624E-09, 1.226110502E-02, 1.480581842E-09, 9.109968303E-04
4.9E-02, -1.488582561E-07, 7.688485526E-02, 2.389076064E-08, 1.298970704E-02, 3.688642057E-09, 9.481866708E-04
