TIME, N1_UZ, N1_AZ, N2_UZ, N2_AZ, N3_UZ, N3_AZ, N4_UZ, N4_AZ
1.E-03, -6.108705268E-11, -1.221710813E-04, 1.079582802E-12, 2.15911216E-06, 1.683908864E-13, 3.367734368E-07, 2.542422159E-14, 5.08471846E-08
2.E-03, -3.161899658E-10, -2.658630711E-04, 1.138520844E-11, 1.62927295E-05, 2.072363963E-12, 3.134338204E-06, 4.004418585E-13, 6.483273492E-07
3.E-03, -1.586787686E-10, 1.091056531E-03, 5.43748252E-11, 4.907503031E-05, 1.151638515E-11, 1.194566085E-05, 2.831495463E-12, 3.463701742E-06
4.E-03, 3.743653451E-09, 6.3985218E-03, 1.640818649E-10, 8.435997156E-05, 3.887151592E-11, 2.387657635E-05, 1.184217482E-11, 9.695507191E-06
5.E-03, 2.226043814E-08, 2.283017024E-02, 3.937982387E-10, 1.556576525E-04, 9.218809859E-11, 2.80465019E-05, 3.266064909E-11, 1.392017404E-05
6.E-03, 8.937469887E-08, 7.436412166E-02, 9.150570266E-10, 4.27423237E-04, 1.726005002E-10, 2.614511516E-05, 6.373233109E-11, 6.586437932E-06
7.E-03, 2.73420244E-07, 0.159498263, 2.149559014E-09, 9.990596005E-04, 2.819204089E-10, 3.166973575E-05, 9.642405982E-11, -3.346472736E-06
8.E-03, 6.033516586E-07, 0.132276438, 4.698991437E-09, 1.630803274E-03, 4.265667854E-10, 3.898331575E-05, 1.318251312E-10, 8.764738171E-06
9.E-03, 9.113619646E-07, -0.176114599, 8.720437625E-09, 1.313245787E-03, 6.090126727E-10, 3.66158316E-05, 1.851674581E-10, 2.711802979E-05
1.E-02, 9.012814117E-07, -0.460071699, 1.204239818E-08, -2.71214639E-03, 8.116573865E-10, 3.782452185E-06, 2.570923789E-10, 1.004778292E-05
1.1E-02, 5.896045705E-07, -0.143131261, 7.211419706E-09, -1.359363122E-02, 9.595727047E-10, -1.132397777E-04, 3.298472235E-10, -8.388513813E-06
1.2E-02, 3.887007639E-07, 0.364682784, -1.903180272E-08, -2.923083742E-02, 8.938295286E-10, -3.140765729E-04, 4.051625421E-10, 1.350903043E-05
1.3E-02, 3.593271499E-07, -2.160561262E-02, -8.031422403E-08, -4.084767875E-02, 3.672181239E-10, -6.07658214E-04, 4.905646306E-10, 6.665643548E-06
1.4E-02, -1.278891502E-07, -0.894084179, -1.836235918E-07, -4.320632728E-02, -9.746815133E-10, -1.022916877E-03, 5.672475158E-10, -2.410456966E-05
1.5E-02, -1.501330683E-06, -0.87838394, -3.295688282E-07, -4.206538574E-02, -3.360352123E-09, -1.064635662E-03, 6.427764571E-10, 2.179529329E-05
1.6E-02, -3.402326939E-06, -0.176725183, -5.146975153E-07, -3.630165381E-02, -6.210155689E-09, 1.363493741E-04, 7.518666424E-10, 4.532910961E-05
1.7E-02, -5.3302033E-06, 0.122974606, -7.166532719E-07, 2.646828807E-03, -7.566224044E-09, 2.85110355E-03, 8.836553426E-10, 6.774596466E-08
1.8E-02, -7.25416272E-06, -0.115136854, -8.717237565E-07, 9.112316163E-02, -3.993795787E-09, 7.005871181E-03, 1.071053157E-09, 1.111467833E-04
1.9E-02, -9.440217367E-06, -0.409056012, -8.938827112E-07, 0.174700562, 9.370889321E-09, 1.257862555E-02, 1.466583389E-09, 3.051196257E-04
2.E-02, -1.201129773E-05, -0.361001513, -7.32316256E-07, 0.192751229, 3.843853624E-08, 1.882729798E-02, 2.204882317E-09, 3.804191609E-04
2.1E-02, -1.487979761E-05, -0.233833507, -3.796585002E-07, 0.189430949, 8.8601856E-08, 2.336409015E-02, 3.400069365E-09, 5.333537917E-04
2.2E-02, -1.804529811E-05, -0.360165412, 1.789674279E-07, 0.222504909, 1.60983314E-07, 2.107231383E-02, 5.169632336E-09, 6.154030312E-04
2.3E-02, -2.145344263E-05, -0.125133841, 9.506959891E-07, 0.203702117, 2.474067284E-07, 7.011765263E-03, 7.305698794E-09, 1.176134166E-04
2.4E-02, -2.471140616E-05, 0.425499006, 1.845312104E-06, 4.207480072E-02, 3.288811132E-07, -1.690974357E-02, 9.004888409E-09, -9.913612603E-04
2.5E-02, -2.761596954E-05, 0.281315353, 2.703598596E-06, -0.11473594, 3.793609359E-07, -4.507935457E-02, 8.800860802E-09, -2.815061221E-03
2.6E-02, -3.056800685E-05, -0.376264266, 3.466962645E-06, -7.511195318E-02, 3.686857241E-07, -7.723064138E-02, 4.44821752E-09, -5.482160979E-03
2.7E-02, -3.39882739E-05, -0.560205902, 4.205514804E-06, 2.548961116E-02, 2.643738019E-07, -0.110042835, -6.747574596E-09, -8.204144299E-03
2.8E-02, -3.77013491E-05, -2.541771358E-02, 4.920814465E-06, -7.199111293E-02, 4.33309978E-08, -0.123419356, -2.694251101E-08, -9.794164848E-03
2.9E-02, -4.112412327E-05, 0.606024542, 5.476814475E-06, -0.246609704, -2.88823889E-07, -9.880533155E-02, -5.646925271E-08, -8.869487828E-03
3.E-02, -4.394432517E-05, 0.599131123, 5.81604746E-06, -0.18692866, -6.946728477E-07, -4.858293415E-02, -9.222388568E-08, -3.586361335E-03
3.1E-02, -4.644263576E-05, 4.465415989E-02, 6.056074588E-06, -1.148169125E-02, -1.123073338E-06, 3.479945231E-03, -1.261410212E-07, 7.261283735E-03
