TIME, N5_UZ, N5_AZ, N6_UZ, N6_AZ, N7_UZ, N7_AZ
1.E-03, 2.125682099E-15, 4.251258969E-09, 3.072871405E-16, 6.145590692E-10, 2.656343806E-17, 5.312556112E-11
2.E-03, 3.922996115E-14, 6.570462218E-08, 6.751401229E-15, 1.165885158E-08, 6.581265901E-16, 1.156849151E-09
3.E-03, 3.309554321E-13, 4.435312174E-07, 6.804849102E-14, 9.804547336E-08, 7.576335312E-15, 1.141623959E-08
4.E-03, 1.688844362E-12, 1.688780644E-06, 4.148813321E-13, 4.730204801E-07, 5.364234463E-14, 6.687844111E-08
5.E-03, 5.82587159E-12, 3.869487557E-06, 1.697457657E-12, 1.398458301E-06, 2.605296058E-13, 2.547616871E-07
6.E-03, 1.445856003E-11, 5.121866072E-06, 4.886298881E-12, 2.414077289E-06, 9.165124383E-13, 6.434268141E-07
7.E-03, 2.715972465E-11, 3.015138846E-06, 1.011188829E-11, 1.65945722E-06, 2.405293483E-12, 1.022172445E-06
8.E-03, 4.12106602E-11, -3.156182124E-07, 1.530095199E-11, -1.732480739E-06, 4.793031637E-12, 7.757544699E-07
9.E-03, 5.560128381E-11, 9.949002682E-07, 1.80262762E-11, -3.195073349E-06, 7.387404023E-12, -3.624763753E-07
1.E-02, 7.351521438E-11, 6.051713123E-06, 2.058527696E-11, 2.862313931E-06, 9.218859162E-12, -1.163375909E-06
1.1E-02, 9.759854265E-11, 6.287202131E-06, 2.919283599E-11, 9.2349051E-06, 1.051022658E-11, 8.316722662E-08
1.2E-02, 1.245943153E-10, -4.622580371E-07, 4.337009275E-11, 1.904729065E-06, 1.298347536E-11, 2.280604539E-06
1.3E-02, 1.485477099E-10, -5.622591486E-06, 5.336300246E-11, -1.027353715E-05, 1.747399968E-11, 1.754005116E-06
1.4E-02, 1.701516276E-10, 9.234395603E-07, 5.599377608E-11, -4.45106886E-06, 2.193837126E-11, -1.80629293E-06
1.5E-02, 1.996329393E-10, 1.48313602E-05, 6.076374461E-11, 8.729603764E-06, 2.392852843E-11, -3.142208262E-06
1.6E-02, 2.412354341E-10, 9.411472925E-06, 7.268076962E-11, 5.56477158E-06, 2.49254162E-11, 1.155600954E-06
1.7E-02, 2.815220654E-10, -1.204326056E-05, 8.871570147E-11, 2.670778195E-06, 2.947096122E-11, 5.941768598E-06
1.8E-02, 3.175037235E-10, 3.432459367E-06, 1.098027392E-10, 7.433502664E-06, 3.834042194E-11, 2.706207403E-06
1.9E-02, 3.728807051E-10, 3.535861837E-05, 1.310859089E-10, -7.040830126E-06, 4.562236657E-11, -5.881248843E-06
2.E-02, 4.523012172E-10, 1.272937071E-05, 1.428047358E-10, -1.208848938E-05, 4.815895134E-11, -3.609730586E-06
2.1E-02, 5.390816251E-10, 1.989216935E-06, 1.594426098E-10, 2.192623789E-05, 5.412506487E-11, 1.046875042E-05
2.2E-02, 6.498456523E-10, 4.597784718E-05, 1.987152924E-10, 2.334452503E-05, 7.031787397E-11, 9.985038124E-06
2.3E-02, 7.927041191E-10, 1.821297901E-05, 2.427940822E-10, -1.373248083E-05, 8.805804021E-11, -6.890307661E-06
2.4E-02, 9.214487197E-10, -4.64417067E-05, 2.80714267E-10, 1.414145158E-06, 9.956846792E-11, -5.569635661E-06
2.5E-02, 1.011691167E-09, -3.0563617E-05, 3.290834559E-10, 1.9484894E-05, 1.12381378E-10, 8.174749909E-06
