TIME, N5_UZ, N5_AZ, N6_UZ, N6_AZ, N7_UZ, N7_AZ
1.E-03, 1.1809345E-15, 2.361810538E-09, 1.707150781E-16, 3.414217051E-10, 1.475746559E-17, 2.951420062E-11
2.E-03, 2.179442286E-14, 3.650256788E-08, 3.750778461E-15, 6.477139765E-09, 3.656258834E-16, 6.426939727E-10
3.E-03, 1.83864129E-13, 2.464062319E-07, 3.780471723E-14, 5.446970742E-08, 4.209075173E-15, 6.342355327E-09
4.E-03, 9.382468676E-13, 9.382114686E-07, 2.304896289E-13, 2.627891556E-07, 2.980130257E-14, 3.715468951E-08
5.E-03, 3.2372212E-12, 2.150967023E-06, 9.431224904E-13, 7.771021915E-07, 1.447464895E-13, 1.415499095E-07
6.E-03, 8.044396511E-12, 2.86545187E-06, 2.7166432E-12, 1.344676649E-06, 5.093712247E-13, 3.578077122E-07
7.E-03, 1.519185528E-11, 1.815142131E-06, 5.638728209E-12, 9.524726239E-07, 1.338600182E-12, 5.714022444E-07
8.E-03, 2.343899919E-11, 3.842110258E-07, 8.632381178E-12, -8.093230689E-07, 2.679672822E-12, 4.522918729E-07
9.E-03, 3.28376882E-11, 1.918822558E-06, 1.057221884E-11, -1.298352423E-06, 4.18835745E-12, -1.170633717E-07
1.E-02, 4.586412731E-11, 5.336686508E-06, 1.310326847E-11, 2.480714712E-06, 5.427081234E-12, -4.228692737E-07
1.1E-02, 6.395526644E-11, 4.79280291E-06, 1.981134367E-11, 5.873406427E-06, 6.667329027E-12, 4.258994532E-07
1.2E-02, 8.409523335E-11, -6.951125679E-07, 2.971425964E-11, 5.164230607E-07, 8.916672282E-12, 1.592301094E-06
1.3E-02, 1.018735431E-10, -4.028289224E-06, 3.617587998E-11, -7.399095995E-06, 1.23878818E-11, 8.514692128E-07
1.4E-02, 1.184768866E-10, 1.678218837E-06, 3.767298181E-11, -2.530177423E-06, 1.547762522E-11, -1.614395756E-06
1.5E-02, 1.4150406E-10, 1.116948234E-05, 4.203311758E-11, 8.256330536E-06, 1.672097011E-11, -2.078456385E-06
1.6E-02, 1.72929968E-10, 5.628318324E-06, 5.343496363E-11, 5.827333614E-06, 1.761306701E-11, 1.375917408E-06
1.7E-02, 2.011916737E-10, -1.195674955E-05, 6.671622983E-11, -2.068596758E-06, 2.138549522E-11, 4.384798371E-06
1.8E-02, 2.213158062E-10, -4.318995233E-06, 7.757045867E-11, -2.785554279E-06, 2.784964096E-11, 9.987428858E-07
1.9E-02, 2.49516741E-10, 2.047276182E-05, 8.429560366E-11, -5.472489842E-06, 3.195102085E-11, -5.724296086E-06
2.E-02, 2.930362722E-10, 1.016514108E-05, 8.765251949E-11, -1.264260281E-06, 3.137678745E-11, -3.627127759E-06
2.1E-02, 3.382035962E-10, -6.870085197E-06, 9.879592029E-11, 1.683717235E-05, 3.278087579E-11, 7.583739013E-06
