TIME, N1_UZ, N1_AZ, N2_UZ, N2_AZ, N3_UZ, N3_AZ, N4_UZ, N4_AZ
1.E-03, -5.046321744E-11, -1.009239368E-04, 8.918292711E-13, 1.783614393E-06, 1.391055148E-13, 2.782041434E-07, 2.100261784E-14, 4.200419597E-08
2.E-03, -2.612004066E-10, -2.196260152E-04, 9.405172192E-12, 1.345921133E-05, 1.711952839E-12, 2.589235907E-06, 3.307997962E-13, 5.355747667E-07
3.E-03, -1.31082461E-10, 9.013075693E-04, 4.491833386E-11, 4.054024243E-05, 9.513535556E-12, 9.868154616E-06, 2.33906147E-12, 2.86131883E-06
4.E-03, 3.092583285E-09, 5.2857354E-03, 1.355458884E-10, 6.968867216E-05, 3.211125228E-11, 1.972412829E-05, 9.782666155E-12, 8.009332028E-06
5.E-03, 1.838905759E-08, 1.885970585E-02, 3.253115885E-10, 1.285867564E-04, 7.61553858E-11, 2.316884939E-05, 2.69805362E-11, 1.149927421E-05
6.E-03, 7.383127298E-08, 6.143123093E-02, 7.559166741E-10, 3.53088761E-04, 1.425830219E-10, 2.159813861E-05, 5.264844742E-11, 5.440970466E-06
7.E-03, 2.258688972E-07, 0.131759434, 1.775722664E-09, 8.253101048E-04, 2.328907726E-10, 2.616195562E-05, 7.965465812E-11, -2.764477477E-06
8.E-03, 4.984209354E-07, 0.10927184, 3.881775535E-09, 1.347185314E-03, 3.523812575E-10, 3.220360866E-05, 1.088990215E-10, 7.240435881E-06
9.E-03, 7.528642316E-07, -0.145485973, 7.203839777E-09, 1.084855216E-03, 5.030974252E-10, 3.024786089E-05, 1.529644219E-10, 2.240185069E-05
1.E-02, 7.445368184E-07, -0.38005923, 9.948068058E-09, -2.240468757E-03, 6.704995801E-10, 3.124634414E-06, 2.123806608E-10, 8.300342415E-06
1.1E-02, 4.870646452E-07, -0.118238868, 5.957259757E-09, -1.122952144E-02, 7.926904951E-10, -9.354590329E-05, 2.72482489E-10, -6.929641846E-06
1.2E-02, 3.21100631E-07, 0.301259691, -1.572192398E-08, -2.414721352E-02, 7.383809149E-10, -2.594545602E-04, 3.346994913E-10, 1.115963384E-05
1.3E-02, 2.968354716E-07, -1.784811477E-02, -6.634653289E-08, -3.374373462E-02, 3.033541024E-10, -5.019785246E-04, 4.052490427E-10, 5.506401192E-06
1.4E-02, -1.056475589E-07, -0.738591278, -1.516890541E-07, -3.56921834E-02, -8.051716849E-10, -8.450182893E-04, 4.685957739E-10, -1.991247059E-05
1.5E-02, -1.240229695E-06, -0.725621516, -2.722525102E-07, -3.474966648E-02, -2.775943058E-09, -8.794816338E-04, 5.309892472E-10, 1.80048075E-05
1.6E-02, -2.810617906E-06, -0.145990368, -4.251849039E-07, -2.998832271E-02, -5.130128612E-09, 1.126364395E-04, 6.211072264E-10, 3.74457862E-05
1.7E-02, -4.403211422E-06, 0.101587718, -5.920179202E-07, 2.186510753E-03, -6.250358993E-09, 2.355259454E-03, 7.299761526E-10, 5.596405777E-08
1.8E-02, -5.992569204E-06, -9.511305315E-02, -7.201196249E-07, 7.527565526E-02, -3.299222607E-09, 5.787458802E-03, 8.847830427E-10, 9.181690793E-05
