TIME, N1_UZ, N1_AZ, N2_UZ, N2_AZ, N3_UZ, N3_AZ, N4_UZ, N4_AZ
1.E-03, -2.655958812E-11, -5.311786145E-05, 4.693838269E-13, 9.387444175E-07, 7.321342886E-14, 1.464232334E-07, 1.105400939E-14, 2.210747156E-08
2.E-03, -1.374738982E-10, -1.155926396E-04, 4.950090627E-12, 7.083795437E-06, 9.010278099E-13, 1.362755741E-06, 1.741051559E-13, 2.818814562E-07
3.E-03, -6.899076897E-11, 4.743724049E-04, 2.364122835E-11, 2.13369697E-05, 5.007123977E-12, 5.193765587E-06, 1.231084984E-12, 1.505957279E-06
4.E-03, 1.627675413E-09, 2.781966E-03, 7.133994124E-11, 3.667824851E-05, 1.69006591E-11, 1.038112015E-05, 5.148771661E-12, 4.215437909E-06
5.E-03, 9.678451365E-09, 9.926160974E-03, 1.712166255E-10, 6.767724023E-05, 4.0081782E-11, 1.219413126E-05, 1.420028221E-11, 6.052249582E-06
6.E-03, 3.882369975E-08, 3.226249859E-02, 3.986267373E-10, 1.873878639E-04, 7.511627709E-11, 1.151260053E-05, 2.77202764E-11, 2.884802605E-06
7.E-03, 1.185750293E-07, 6.894958827E-02, 9.421079091E-10, 4.44752565E-04, 1.234435669E-10, 1.507289632E-05, 4.208669509E-11, -1.192014328E-06
8.E-03, 2.609837834E-07, 5.636655427E-02, 2.074690437E-09, 7.334510295E-04, 1.901391055E-10, 2.166361692E-05, 5.844211773E-11, 5.169823377E-06
9.E-03, 3.917418314E-07, -7.966617862E-02, 3.868291368E-09, 5.885956433E-04, 2.799579631E-10, 2.458309656E-05, 8.508446698E-11, 1.540412892E-05
1.E-02, 3.77705262E-07, -0.209924951, 5.35686841E-09, -1.19861244E-03, 3.872983381E-10, 1.0460286E-05, 1.239467456E-10, 9.03604356E-06
1.1E-02, 2.144128505E-07, -8.859110267E-02, 3.260956537E-09, -5.970321884E-03, 4.787418359E-10, -4.22534261E-05, 1.660997782E-10, -2.45471619E-06
1.2E-02, 6.649081226E-08, 0.119333989, -8.23073313E-09, -1.282122488E-02, 4.849538336E-10, -1.282093531E-04, 2.088488866E-10, 3.646609272E-06
1.3E-02, -2.623295291E-08, -8.93121905E-03, -3.502914278E-08, -1.779227027E-02, 3.001055619E-10, -2.539104187E-04, 2.565517162E-10, 6.261172745E-06
1.4E-02, -2.624964096E-07, -0.278150776, -7.971463374E-08, -1.79819566E-02, -2.266935011E-10, -4.299906689E-04, 3.067926172E-10, -1.185113528E-06
1.5E-02, -7.397233054E-07, -0.203782047, -1.409365717E-07, -1.509095074E-02, -1.18580579E-09, -4.346405108E-04, 3.614880549E-10, 1.00938052E-05
1.6E-02, -1.307301341E-06, 2.308181909E-02, -2.138944691E-07, -8.381049543E-03, -2.305445329E-09, 1.13576959E-04, 4.279141871E-10, 1.336815605E-05
