TIME, N5_UZ, N5_AZ, N6_UZ, N6_AZ, N7_UZ, N7_AZ
1.E-03, 1.983969959E-15, 3.967841704E-09, 2.868013311E-16, 5.735884645E-10, 2.479254218E-17, 4.958385705E-11
2.E-03, 3.661463041E-14, 6.132431404E-08, 6.301307814E-15, 1.08815948E-08, 6.142514841E-16, 1.079725874E-09
3.E-03, 3.088917367E-13, 4.139624696E-07, 6.351192495E-14, 9.150910847E-08, 7.071246291E-15, 1.065515695E-08
4.E-03, 1.576254738E-12, 1.576195267E-06, 3.872225766E-13, 4.414857815E-07, 5.006618832E-14, 6.241987837E-08
5.E-03, 5.438531616E-12, 3.613624598E-06, 1.584445784E-12, 1.305531682E-06, 2.431741024E-13, 2.378038479E-07
6.E-03, 1.35126935E-11, 4.810173961E-06, 4.563687029E-12, 2.25850969E-06, 8.55720011E-13, 6.010696645E-07
7.E-03, 2.548795678E-11, 2.992075471E-06, 9.467135312E-12, 1.589939331E-06, 2.248269536E-12, 9.589401302E-07
8.E-03, 3.909317376E-11, 2.678086288E-07, 1.444360106E-11, -1.443880098E-06, 4.495279457E-12, 7.499921792E-07
9.E-03, 5.37510603E-11, 1.837447056E-06, 1.740991931E-11, -2.576485797E-06, 6.990683406E-12, -2.531957531E-07
1.E-02, 7.232629244E-11, 5.997261833E-06, 2.061404076E-11, 3.051994341E-06, 8.899904349E-12, -9.191868073E-07
1.1E-02, 9.628980106E-11, 4.779406876E-06, 2.941483504E-11, 8.141460585E-06, 1.045740331E-11, 2.157144895E-07
1.2E-02, 1.219242495E-10, -1.437516946E-06, 4.244611734E-11, 3.197279306E-07, 1.310982212E-11, 1.97413756E-06
1.3E-02, 1.451155241E-10, -3.448944982E-06, 5.084361183E-11, -9.587460188E-06, 1.733205266E-11, 1.165537331E-06
1.4E-02, 1.685349929E-10, 3.905213571E-06, 5.414806258E-11, -5.989414732E-07, 2.123331888E-11, -1.8074628E-06
1.5E-02, 2.003648951E-10, 1.291572977E-05, 6.240763003E-11, 1.050943036E-05, 2.320063259E-11, -2.060512652E-06
1.6E-02, 2.403320594E-10, 3.359178872E-06, 7.576297426E-11, -3.175842857E-07, 2.513370419E-11, 1.991990892E-06
1.7E-02, 2.746003438E-10, -1.475710369E-05, 8.682356821E-11, -4.272373106E-06, 3.035568585E-11, 4.585902137E-06
1.8E-02, 3.052683586E-10, 7.55572579E-06, 1.01530364E-10, 1.15647347E-05, 3.794821516E-11, 1.552955723E-07
1.9E-02, 3.593455074E-10, 3.926313177E-05, 1.231000296E-10, 2.161670831E-06, 4.267323882E-11, -5.890367298E-06
2.E-02, 4.34828594E-10, 3.549834564E-06, 1.386538601E-10, -1.419382162E-05, 4.424778537E-11, -4.108129596E-07
2.1E-02, 5.050920794E-10, -1.399055588E-05, 1.535542206E-10, 1.288627776E-05, 5.158292125E-11, 1.193204332E-05
2.2E-02, 5.935971593E-10, 5.047320389E-05, 1.848997196E-10, 2.000508506E-05, 6.775857994E-11, 5.749410167E-06
2.3E-02, 7.236325652E-10, 3.25900167E-05, 2.190318521E-10, -1.443185394E-05, 8.076133949E-11, -1.20953196E-05
