TIME, N5_UZ, N5_AZ, N6_UZ, N6_AZ, N7_UZ, N7_AZ
4.8E-02, -3.654734603E-07, 9.819568111E-02, -5.67252328E-09, 1.532638128E-02, 1.850727302E-09, 1.138746038E-03
4.9E-02, -1.860728201E-07, 9.610606907E-02, 2.98634508E-08, 1.62371338E-02, 4.610802572E-09, 1.185233339E-03
5.E-02, 7.731870761E-08, 7.187598179E-02, 7.97204836E-08, 1.240505362E-02, 8.396428842E-09, 8.658719707E-04
5.1E-02, 3.906299374E-07, 2.79636391E-02, 1.370746502E-07, 2.589293432E-03, 1.263428495E-08, 3.859704339E-05
5.2E-02, 7.036265878E-07, -2.859269729E-02, 1.892783377E-07, -1.289018929E-02, 1.6079256E-08, -1.624355638E-03
5.3E-02, 9.593865035E-07, -8.588085252E-02, 2.193111388E-07, -3.145156826E-02, 1.676533112E-08, -3.893432527E-03
5.4E-02, 1.107675634E-06, -0.129060989, 2.09375155E-07, -4.848605426E-02, 1.238632976E-08, -6.236722196E-03
5.5E-02, 1.117968442E-06, -0.146932014, 1.459699449E-07, -5.845252176E-02, 8.680204E-10, -8.041905394E-03
5.6E-02, 9.856389358E-07, -0.138312918, 2.513954271E-08, -5.639803902E-02, -1.878015066E-08, -8.217846975E-03
5.7E-02, 7.287199561E-07, -0.110866199, -1.435089827E-07, -3.923840816E-02, -4.537201409E-08, -5.669576796E-03
5.8E-02, 3.794620298E-07, -7.381176518E-02, -3.353932463E-07, -7.233238837E-03, -7.476389895E-08, 6.949318798E-05
5.9E-02, -2.333792373E-08, -3.327230627E-02, -5.136424565E-07, 3.450327203E-02, -9.971896219E-08, 8.804115848E-03
6.E-02, -4.392272955E-07, 7.093490716E-03, -6.3645519E-07, 7.636975006E-02, -1.106431483E-07, 1.925762938E-02
6.1E-02, -8.291888337E-07, 4.476222269E-02, -6.676121106E-07, 0.106942088, -9.753968426E-08, 2.879770242E-02
6.2E-02, -1.157476374E-06, 7.85858235E-02, -5.867574536E-07, 0.117081365, -5.297722594E-08, 3.412035967E-02
6.3E-02, -1.39268493E-06, 0.107572216, -3.955983085E-07, 0.103527906, 2.471273565E-08, 3.213475567E-02
6.4E-02, -1.510140741E-06, 0.127933417, -1.179668137E-07, 6.941701423E-02, 1.28832883E-07, 2.072574238E-02
6.5E-02, -1.496717051E-06, 0.133825804, 2.056890832E-07, 2.263188768E-02, 2.432389054E-07, -1.538817734E-04
6.6E-02, -1.355355308E-06, 0.122050525, 5.273383381E-07, -2.664520595E-02, 3.438150389E-07, -2.750584409E-02
6.7E-02, -1.105238804E-06, 9.545914407E-02, 8.010110944E-07, -6.930792124E-02, 4.028823731E-07, -5.55117894E-02
6.8E-02, -7.760549861E-07, 6.267549393E-02, 9.903482116E-07, -9.936354149E-02, 3.957553455E-07, -7.687706432E-02
6.9E-02, -3.992562023E-07, 3.255436221E-02, 1.07307745E-06, -0.11385242, 3.077883051E-07, -8.480316638E-02
7.E-02, -2.620973977E-09, 7.118484584E-03, 1.042462116E-06, -0.11283691, 1.397250155E-07, -7.538956017E-02
