TIME, N5_UZ, N5_AZ, N6_UZ, N6_AZ, N7_UZ, N7_AZ
1.E-03, 1.795020439E-15, 3.589952018E-09, 2.594869186E-16, 5.189609917E-10, 2.243134769E-17, 4.486158495E-11
2.E-03, 3.312752275E-14, 5.548390318E-08, 5.70118326E-15, 9.845252443E-09, 5.557513428E-16, 9.768948386E-10
3.E-03, 2.79473476E-13, 3.745374725E-07, 5.74631702E-14, 8.279395528E-08, 6.397794263E-15, 9.640380097E-09
4.E-03, 1.426135239E-12, 1.426081432E-06, 3.50344236E-13, 3.994395166E-07, 4.529797991E-14, 5.647512805E-08
5.E-03, 4.920576224E-12, 3.269469875E-06, 1.433546185E-12, 1.181195331E-06, 2.200146641E-13, 2.151558624E-07
6.E-03, 1.222577031E-11, 4.352062155E-06, 4.129050169E-12, 2.043413529E-06, 7.742228671E-13, 5.438249346E-07
7.E-03, 2.306053233E-11, 2.707115902E-06, 8.565503377E-12, 1.438516537E-06, 2.034148628E-12, 8.676124987E-07
8.E-03, 3.537001435E-11, 2.423030451E-07, 1.306802001E-11, -1.306367708E-06, 4.067157604E-12, 6.785643526E-07
9.E-03, 4.86319117E-11, 1.662452098E-06, 1.575183175E-11, -2.331106197E-06, 6.324904034E-12, -2.290818719E-07
1.E-02, 6.543807412E-11, 5.42609404E-06, 1.865079878E-11, 2.761328213E-06, 8.052294411E-12, -8.316452066E-07
1.1E-02, 8.711934382E-11, 4.324225269E-06, 2.661342218E-11, 7.366083386E-06, 9.461460139E-12, 1.951702524E-07
1.2E-02, 1.103124162E-10, -1.30061057E-06, 3.840362997E-11, 2.892776515E-07, 1.186126763E-11, 1.786124459E-06
1.3E-02, 1.31294998E-10, -3.120474031E-06, 4.600136308E-11, -8.674368741E-06, 1.568138098E-11, 1.054533776E-06
1.4E-02, 1.524840412E-10, 3.533288469E-06, 4.899110424E-11, -5.418994281E-07, 1.921109803E-11, -1.635323486E-06
1.5E-02, 1.812825241E-10, 1.168566027E-05, 5.646404622E-11, 9.508532233E-06, 2.099104853E-11, -1.864273352E-06
1.6E-02, 2.174432918E-10, 3.039257075E-06, 6.85474529E-11, -2.873381633E-07, 2.274001808E-11, 1.802277473E-06
1.7E-02, 2.484479301E-10, -1.335166524E-05, 7.855465695E-11, -3.865480429E-06, 2.746466815E-11, 4.149149552E-06
1.8E-02, 2.761951816E-10, 6.836132858E-06, 9.186080553E-11, 1.046333139E-05, 3.433409943E-11, 1.405055178E-07
1.9E-02, 3.251221258E-10, 3.552378589E-05, 1.113762172E-10, 1.955797418E-06, 3.860912083E-11, -5.329379936E-06
