TIME, N5_UZ, N5_AZ, N6_UZ, N6_AZ, N7_UZ, N7_AZ
1.E-03, 7.085606997E-16, 1.417086323E-09, 1.024290468E-16, 2.048530231E-10, 8.854479352E-18, 1.770852037E-11
2.E-03, 1.307665372E-14, 2.190154073E-08, 2.250467076E-15, 3.886283859E-09, 2.1937553E-16, 3.856163836E-10
3.E-03, 1.103184774E-13, 1.478437391E-07, 2.268283034E-14, 3.268182445E-08, 2.525445104E-15, 3.805413196E-09
4.E-03, 5.629481206E-13, 5.629268812E-07, 1.382937774E-13, 1.576734934E-07, 1.788078154E-14, 2.22928137E-08
5.E-03, 1.94233272E-12, 1.290580214E-06, 5.658734942E-13, 4.662613149E-07, 8.68478937E-14, 8.492994568E-08
6.E-03, 4.826637906E-12, 1.719271122E-06, 1.62998592E-12, 8.068059896E-07, 3.056227348E-13, 2.146846273E-07
7.E-03, 9.115113169E-12, 1.089085279E-06, 3.383236925E-12, 5.714835743E-07, 8.031601094E-13, 3.428413466E-07
8.E-03, 1.406339951E-11, 2.305266155E-07, 5.179428707E-12, -4.855938414E-07, 1.607803693E-12, 2.713751238E-07
9.E-03, 1.970328886E-11, 1.152645385E-06, 6.343428997E-12, -7.788160679E-07, 2.513022915E-12, -7.022113306E-08
1.E-02, 2.753074785E-11, 3.222498801E-06, 7.864078253E-12, 1.492076927E-06, 3.256455444E-12, -2.533588355E-07
1.1E-02, 3.847471161E-11, 3.010562423E-06, 1.190780596E-11, 3.554121478E-06, 4.00274416E-12, 2.590604459E-07
1.2E-02, 5.096362163E-11, 7.934675329E-08, 1.795415646E-11, 4.512112673E-07, 5.366353639E-12, 9.755865783E-07
1.3E-02, 6.282405497E-11, -1.33635396E-06, 2.220744883E-11, -4.03737865E-06, 7.510647258E-12, 5.858036948E-07
1.4E-02, 7.5171002E-11, 2.309308849E-06, 2.40062062E-11, -8.718307007E-07, 9.55452456E-12, -7.866335629E-07
1.5E-02, 9.230991916E-11, 7.274669801E-06, 2.801268044E-11, 5.287326932E-06, 1.071665988E-11, -9.768823669E-07
1.6E-02, 1.146540833E-10, 3.136011868E-06, 3.608934094E-11, 2.85319705E-06, 1.188617699E-11, 9.916238422E-07
1.7E-02, 1.351709425E-10, -6.790662402E-06, 4.456951629E-11, -2.046254798E-06, 1.478605304E-11, 2.469127842E-06
1.8E-02, 1.517096427E-10, -1.166000648E-06, 5.173625628E-11, -5.806877613E-07, 1.905966743E-11, 2.784065119E-07
1.9E-02, 1.739807345E-10, 1.26309197E-05, 5.806937762E-11, -1.086430325E-06, 2.179343877E-11, -3.358113342E-06
2.E-02, 2.045832314E-10, 4.032311588E-06, 6.299283632E-11, -1.733008331E-06, 2.201636872E-11, -1.663681087E-06
2.1E-02, 2.338766146E-10, -6.650900193E-06, 7.022458962E-11, 6.349492597E-06, 2.369688593E-11, 4.578852459E-06
2.2E-02, 2.632132105E-10, 6.737083971E-06, 8.32269847E-11, 5.192122547E-06, 2.958172053E-11, 3.829958478E-06
2.3E-02, 2.982682253E-10, 4.700372505E-06, 9.460280645E-11, -8.445285318E-06, 3.510319314E-11, -4.556666065E-06
2.4E-02, 3.266118098E-10, -1.81233251E-05, 9.95520984E-11, -4.408195972E-06, 3.600010115E-11, -4.69268345E-06
2.5E-02, 3.354551852E-10, -2.087749959E-05, 1.059355201E-10, 7.276679589E-06, 3.631410375E-11, 3.526881763E-06
2.6E-02, 3.151885602E-10, -3.734176338E-05, 1.156503801E-10, -6.135383297E-07, 4.020307688E-11, 3.623251432E-06
2.7E-02, 2.31065495E-10, -9.037093534E-05, 1.22938888E-10, -4.239530798E-06, 4.536232523E-11, -1.082770446E-06
2.8E-02, 4.760299462E-11, -1.083089816E-04, 1.302810038E-10, 4.346802273E-06, 4.954958101E-11, -8.612685926E-07
2.9E-02, -2.214943123E-10, -6.29611721E-05, 1.391599378E-10, -1.272868983E-06, 5.207512314E-11, -2.46206078E-06
3.E-02, -5.07063706E-10, 3.001634958E-05, 1.435855727E-10, -7.634002025E-06, 5.258479715E-11, -1.569833149E-06
3.1E-02, -6.633083957E-10, 2.286310798E-04, 1.458515764E-10, 3.314578704E-06, 5.52330417E-11, 5.846967295E-06
3.2E-02, -4.15530537E-10, 5.794121897E-04, 1.588475442E-10, 1.814541106E-05, 6.149304708E-11, 1.37685539E-06
3.3E-02, 6.22723849E-10, 1.00154089E-03, 1.961350946E-10, 3.043775666E-05, 6.532584722E-11, -6.231483258E-06
3.4E-02, 2.835962138E-09, 1.348428753E-03, 2.669859569E-10, 3.668901441E-05, 6.79502735E-11, 3.81451164E-06
