TIME, N1_UZ, N1_AZ, N2_UZ, N2_AZ, N3_UZ, N3_AZ, N4_UZ, N4_AZ
1.E-03, -3.319948515E-11, -6.639732681E-05, 5.867297836E-13, 1.173430522E-06, 9.151678608E-14, 1.830290417E-07, 1.381751174E-14, 2.763433945E-08
2.E-03, -1.718423727E-10, -1.444907995E-04, 6.187613284E-12, 8.854744296E-06, 1.126284762E-12, 1.703444676E-06, 2.176314448E-13, 3.523518202E-07
3.E-03, -8.623846121E-11, 5.929655061E-04, 2.955153543E-11, 2.667121212E-05, 6.258904971E-12, 6.492206984E-06, 1.53885623E-12, 1.882446599E-06
4.E-03, 2.034594267E-09, 3.4774575E-03, 8.917492655E-11, 4.584781063E-05, 2.112582387E-11, 1.297640019E-05, 6.435964576E-12, 5.269297387E-06
5.E-03, 1.209806421E-08, 1.240770122E-02, 2.140207819E-10, 8.459655028E-05, 5.01022275E-11, 1.524266408E-05, 1.775035276E-11, 7.565311977E-06
6.E-03, 4.852962469E-08, 4.032812323E-02, 4.982834216E-10, 2.342348299E-04, 9.389534637E-11, 1.439075067E-05, 3.46503455E-11, 3.606003256E-06
7.E-03, 1.482187867E-07, 8.618698533E-02, 1.177634886E-09, 5.559407062E-04, 1.543044587E-10, 1.88411204E-05, 5.260836886E-11, -1.49001791E-06
8.E-03, 3.262297292E-07, 7.045819284E-02, 2.593363046E-09, 9.168137869E-04, 2.376738819E-10, 2.707952115E-05, 7.305264716E-11, 6.462279221E-06
9.E-03, 4.897208705E-07, -9.9495563E-02, 4.83439439E-09, 7.338049618E-04, 3.498567272E-10, 3.054742176E-05, 1.063423747E-10, 1.922874373E-05
1.E-02, 4.725107496E-07, -0.261909336, 6.686689221E-09, -1.511239083E-03, 4.830360774E-10, 1.144605E-05, 1.547294434E-10, 1.096633718E-05
1.1E-02, 2.696512628E-07, -0.109394863, 4.037602139E-09, -7.491470422E-03, 5.926739143E-10, -5.852827017E-05, 2.062293777E-10, -4.740812378E-06
1.2E-02, 8.836246954E-08, 0.152538901, -1.037501606E-08, -1.603558159E-02, 5.883168315E-10, -1.694613461E-04, 2.555440011E-10, 3.698773799E-07
