TIME, N1_UZ, N1_AZ, N2_UZ, N2_AZ, N3_UZ, N3_AZ, N4_UZ, N4_AZ
1.E-03, -6.37430115E-11, -1.274828675E-04, 1.126521185E-12, 2.252986602E-06, 1.757122293E-13, 3.514157601E-07, 2.652962253E-14, 5.305793175E-08
2.E-03, -3.299373557E-10, -2.77422335E-04, 1.188021751E-11, 1.700110905E-05, 2.162466744E-12, 3.270613778E-06, 4.178523741E-13, 6.765154948E-07
3.E-03, -1.655778455E-10, 1.138493772E-03, 5.673894803E-11, 5.120872728E-05, 1.201709754E-11, 1.246503741E-05, 2.954603962E-12, 3.61429747E-06
4.E-03, 3.906420992E-09, 6.6767184E-03, 1.71215859E-10, 8.802779641E-05, 4.056158183E-11, 2.491468836E-05, 1.235705199E-11, 1.011705098E-05
5.E-03, 2.322828328E-08, 2.382278634E-02, 4.109199013E-10, 1.624253765E-04, 9.619627679E-11, 2.926591503E-05, 3.408067731E-11, 1.4525399E-05
6.E-03, 9.326055534E-08, 7.759734434E-02, 9.548421147E-10, 4.46006856E-04, 1.801048697E-10, 2.72818593E-05, 6.6503302E-11, 6.872804799E-06
7.E-03, 2.853080807E-07, 0.16643297, 2.243018102E-09, 1.042496974E-03, 2.94177818E-10, 3.304668078E-05, 1.006164103E-10, -3.49197155E-06
8.E-03, 6.295843394E-07, 0.138027588, 4.903295413E-09, 1.701707765E-03, 4.451131674E-10, 4.067824252E-05, 1.375566587E-10, 9.145813744E-06
9.E-03, 9.509863978E-07, -0.183771756, 9.099587087E-09, 1.37034343E-03, 6.354914845E-10, 3.820782428E-05, 1.932182171E-10, 2.829707456E-05
1.E-02, 9.4046756E-07, -0.480074816, 1.25659807E-08, -2.830065798E-03, 8.46946838E-10, 3.946906628E-06, 2.682703084E-10, 1.048464305E-05
1.1E-02, 6.152395519E-07, -0.14935436, 7.524959693E-09, -1.418465866E-02, 1.001293257E-09, -1.181632463E-04, 3.441884072E-10, -8.753231805E-06
1.2E-02, 4.056007971E-07, 0.380538557, -1.98592724E-08, -3.05017434E-02, 9.32691682E-10, -3.277320761E-04, 4.227783048E-10, 1.409637958E-05
